_id,buy_and_hold_gain,long,macd_gain,model_gain,short,signal,symbol,rl-bh,rl-macd,,
645672f938564acf737dc061,1.0376513,26,1.066740171,1.167238339,12,9,CHPT,1.124884958,1.09421054,2.292123297,1.31300885
644ed38be4c2dae93f423e53,1.119598571,26,1.198343446,1.180850302,12,9,LYFT,1.054708654,0.985402228,2.235558956,1.245453032
644f4c5be4c2dae93f68e9fb,0.974026769,26,0.964110229,1.096569202,12,9,MDB,1.125810129,1.137389864,2.222379331,1.234528715
64536fb938564acf730114f3,1.051144128,26,0.932292057,1.135255664,12,9,AMBA,1.080019032,1.21770389,2.215274696,1.226097723
645434db38564acf73221a1b,1.150192589,7,1.049466243,1.186333951,3,19,RCM,1.031422008,1.130416493,2.217755959,1.223610946
6453ad2838564acf7309d279,1.122556506,7,1.002867432,1.14456113,3,19,CACC,1.019602242,1.141288562,2.164163371,1.166997094
6453863438564acf73046286,1.110642809,13,1.008622533,1.138383844,6,9,GLOB,1.024977459,1.128652005,2.163361303,1.16681778
64567e3338564acf737f989a,1.10916702,26,0.960799079,1.125487746,12,9,KRNT,1.014714399,1.17140802,2.140202146,1.142048623
644e7991e4c2dae93f28c394,1.009641405,26,1.048504724,1.065186948,12,9,ROKU,1.05501512,1.015910491,2.120202069,1.123788337
6455d75b38564acf736583a4,1.065936909,13,0.96030679,1.09369918,6,9,RPD,1.026044948,1.138906016,2.119744128,1.122184518
64556c0438564acf7354e21a,1.001640771,13,0.967553194,1.059486855,6,9,MEDP,1.057751327,1.095016648,2.117238183,1.120673627
645667a638564acf737bb9ca,1.056266052,26,0.945141019,1.086552409,12,9,HLI,1.028673038,1.149619355,2.115225447,1.117707168
64543a1e38564acf7322fbd0,1.013435022,26,0.938174486,1.064212993,12,9,WDAY,1.050104811,1.13434442,2.114317804,1.117535184
644ea723e4c2dae93f34806c,0.946506569,13,0.932522712,1.025115117,6,9,PAYC,1.083051245,1.099292386,2.108166362,1.110252204
64525f32563f621c88b508fd,0.93390374,13,0.916881267,1.015872915,6,9,EXPI,1.087770475,1.107965613,2.103643391,1.105036564
644fbf25e4c2dae93f8a5e6d,1.034176366,7,0.995371216,1.068457247,3,19,AMZN,1.033148003,1.073425904,2.10160525,1.103874471
6450e1cfe4c2dae93fed6d30,1.056955965,13,0.994672346,1.079882397,6,9,HUM,1.021691001,1.085666452,2.101573398,1.103306127
6452c254563f621c88c5eae0,1.036018754,26,0.991864116,1.06876974,12,9,GNRC,1.031612349,1.077536452,2.10038209,1.102556063
64531dc038564acf73f3baf3,1.007039693,26,0.964401002,1.052561471,12,9,WK,1.045203559,1.091414743,2.09776503,1.100140996
64508171e4c2dae93fcf850a,1.119305229,26,0.990887825,1.109681108,12,9,NOW,0.991401701,1.119885702,2.101082809,1.100139738
