,TradeTime,Last,Ask,Bid,VolumeSum,Sign,Sign Change,Balance Change,Short Balance Change,Rounded Last,Last Balance Change
0,2023-06-07T13:30:08Z,178.33,178.33,178.31,201.0,True,1,-178.33,-178.33,178.33,-178.33
1,2023-06-07T13:30:18Z,178.79,178.81,178.78,-250.0,False,-1,178.78,178.78,178.79,178.79
2,2023-06-07T13:30:38Z,178.735,178.75,178.73,50.0,True,1,-178.75,-178.75,178.73,-178.73
3,2023-06-07T13:31:18Z,179.28,179.3,179.27,1400.0,True,0,,,179.28,
4,2023-06-07T13:32:27Z,179.9397,179.94,179.92,825.0,True,0,,,179.93,
5,2023-06-07T13:33:59Z,180.24,180.25,180.21,-553.0,False,-1,180.21,180.21,180.24,180.24
6,2023-06-07T13:34:18Z,180.349,180.35,180.34,500.0,True,1,-180.35,-180.35,180.34,-180.34
7,2023-06-07T13:34:29Z,180.28,180.3,180.28,694.0,True,0,,,180.28,
8,2023-06-07T13:35:28Z,180.54,180.55,180.53,-100.0,False,-1,180.53,180.53,180.54,180.54
9,2023-06-07T13:36:49Z,180.61,180.62,180.6,-801.0,False,0,,,180.61,
10,2023-06-07T13:45:28Z,180.4006,180.45,180.43,1900.0,True,1,-180.45,-180.45,180.4,-180.4
11,2023-06-07T13:51:49Z,181.205,181.21,181.2,-11.0,False,-1,181.2,181.2,181.2,181.2
12,2023-06-07T14:23:28Z,179.65,179.65,179.63,-2153.0,False,0,,,179.65,
13,2023-06-07T14:24:19Z,179.2331,179.24,179.23,1500.0,True,1,-179.24,-179.24,179.23,-179.23
14,2023-06-07T14:24:48Z,179.39,179.4,179.38,-500.0,False,-1,179.38,179.38,179.39,179.39
15,2023-06-07T14:25:58Z,179.28,179.29,179.28,1000.0,True,1,-179.29,-179.29,179.28,-179.28
16,2023-06-07T14:28:18Z,179.13,179.13,179.12,-2725.0,False,-1,179.12,179.12,179.13,179.13
17,2023-06-07T14:28:39Z,178.92,178.98,178.96,825.0,True,1,-178.98,-178.98,178.92,-178.92
18,2023-06-07T14:33:58Z,179.4686,179.47,179.46,1000.0,True,0,,,179.46,
19,2023-06-07T14:34:38Z,179.31,179.32,179.31,909.0,True,0,,,179.31,
20,2023-06-07T14:34:48Z,179.24,179.25,179.24,1100.0,True,0,,,179.24,
21,2023-06-07T14:52:08Z,179.02,179.01,178.99,-1800.0,False,-1,178.99,178.99,179.02,179.02
22,2023-06-07T14:53:29Z,178.85,178.87,178.85,1400.0,True,1,-178.87,-178.87,178.85,-178.85
23,2023-06-07T14:58:59Z,178.66,178.67,178.66,300.0,True,0,,,178.66,
24,2023-06-07T15:03:08Z,178.695,178.7,178.69,100.0,True,0,,,178.69,
25,2023-06-07T15:03:48Z,178.76,178.77,178.75,301.0,True,0,,,178.76,
26,2023-06-07T15:05:19Z,179.02,179.02,179.01,-300.0,False,-1,179.01,179.01,179.02,179.02
27,2023-06-07T15:07:08Z,178.995,179.0,178.99,1200.0,True,1,-179.0,-179.0,178.99,-178.99
28,2023-06-07T15:51:09Z,179.34,179.32,179.3,-300.0,False,-1,179.3,179.3,179.34,179.34
29,2023-06-07T15:55:59Z,179.015,179.02,179.01,590.0,True,1,-179.02,-179.02,179.01,-179.01
30,2023-06-07T15:58:48Z,178.92,178.93,178.92,687.0,True,0,,,178.92,
31,2023-06-07T16:32:28Z,178.555,178.56,178.54,-1114.0,False,-1,178.54,178.54,178.55,178.55
32,2023-06-07T17:05:59Z,178.175,178.18,178.17,-1025.0,False,0,,,178.17,
33,2023-06-07T17:44:09Z,177.63,177.63,177.62,1100.0,True,1,-177.63,-177.63,177.63,-177.63
34,2023-06-07T17:50:39Z,177.455,177.46,177.45,-2039.0,False,-1,177.45,177.45,177.45,177.45
35,2023-06-07T18:21:28Z,178.1423,178.15,178.14,-640.0,False,0,,,178.14,
36,2023-06-07T18:27:48Z,177.85,177.86,177.85,601.0,True,1,-177.86,-177.86,177.85,-177.85
37,2023-06-07T18:28:17Z,177.935,177.95,177.94,1425.0,True,0,,,177.93,
38,2023-06-07T18:30:08Z,177.995,178.0,177.99,100.0,True,0,,,177.99,
39,2023-06-07T18:34:28Z,177.8528,177.86,177.85,3400.0,True,0,,,177.85,
40,2023-06-07T18:56:08Z,177.9792,177.98,177.97,-158.0,False,-1,177.97,177.97,177.97,177.97
41,2023-06-07T19:16:57Z,178.3,178.31,178.3,-1657.0,False,0,,,178.3,
42,2023-06-07T19:30:08Z,178.06,178.07,178.06,2325.0,True,1,-178.07,-178.07,178.06,-178.06
43,2023-06-07T19:30:38Z,178.03,178.03,178.02,-831.0,False,-1,178.02,178.02,178.03,178.03
44,2023-06-07T19:45:39Z,177.75,177.76,177.74,-1751.0,False,0,,,177.75,
45,2023-06-07T19:54:19Z,177.89,177.9,177.89,-100.0,False,0,,,177.89,
