Symbol,Open,High,Low,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
AAPL,177.325,179.35001,177.05,178.385,178.38,100,178.37,600,19450738,2023-05-31T14:57:14Z
AAPL,177.325,179.35001,177.05,178.32,178.32,100,178.31,400,19462663,2023-05-31T14:57:18Z
AAPL,177.325,179.35001,177.05,178.315,178.32,300,178.31,100,19471789,2023-05-31T14:57:23Z
AAPL,177.325,179.35001,177.05,178.2726,178.28,100,178.27,600,19483841,2023-05-31T14:57:28Z
AAPL,177.325,179.35001,177.05,178.3,178.31,200,178.3,400,19500987,2023-05-31T14:57:33Z
AAPL,177.325,179.35001,177.05,178.2955,178.3,500,178.29,200,19508069,2023-05-31T14:57:39Z
AAPL,177.325,179.35001,177.05,178.27,178.29,300,178.28,100,19525875,2023-05-31T14:57:43Z
AAPL,177.325,179.35001,177.05,178.2599,178.26,200,178.25,100,19575209,2023-05-31T14:57:49Z
AAPL,177.325,179.35001,177.05,178.28,178.28,100,178.27,100,19597613,2023-05-31T14:57:53Z
AAPL,177.325,179.35001,177.05,178.27,178.28,900,178.26,400,19601696,2023-05-31T14:57:59Z
AAPL,177.325,179.35001,177.05,178.275,178.28,400,178.27,200,19606552,2023-05-31T14:58:04Z
AAPL,177.325,179.35001,177.05,178.26,178.27,100,178.26,400,19612161,2023-05-31T14:58:09Z
AAPL,177.325,179.35001,177.05,178.26,178.26,100,178.25,300,19621019,2023-05-31T14:58:14Z
AAPL,177.325,179.35001,177.05,178.34,178.34,400,178.33,300,19655698,2023-05-31T14:58:18Z
AAPL,177.325,179.35001,177.05,178.36,178.35,100,178.34,200,19696795,2023-05-31T14:58:24Z
AAPL,177.325,179.35001,177.05,178.3,178.31,100,178.3,500,19709506,2023-05-31T14:58:28Z
AAPL,177.325,179.35001,177.05,178.295,178.3,100,178.29,600,19715741,2023-05-31T14:58:34Z
AAPL,177.325,179.35001,177.05,178.3,178.31,100,178.3,300,19723675,2023-05-31T14:58:38Z
AAPL,177.325,179.35001,177.05,178.3115,178.32,700,178.31,300,19730230,2023-05-31T14:58:44Z
AAPL,177.325,179.35001,177.05,178.36,178.37,300,178.36,200,19740138,2023-05-31T14:58:49Z
AAPL,177.325,179.35001,177.05,178.36,178.37,600,178.36,200,19748609,2023-05-31T14:58:54Z
AAPL,177.325,179.35001,177.05,178.36,178.37,800,178.35,400,19756665,2023-05-31T14:58:58Z
AAPL,177.325,179.35001,177.05,178.355,178.36,100,178.35,400,19759078,2023-05-31T14:59:03Z
AAPL,177.325,179.35001,177.05,178.3881,178.4,1800,178.39,100,19778802,2023-05-31T14:59:08Z
AAPL,177.325,179.35001,177.05,178.39,178.4,1900,178.39,600,19784418,2023-05-31T14:59:14Z
AAPL,177.325,179.35001,177.05,178.3918,178.4,100,178.39,400,19801038,2023-05-31T14:59:19Z
AAPL,177.325,179.35001,177.05,178.36,178.37,100,178.36,300,19813527,2023-05-31T14:59:23Z
AAPL,177.325,179.35001,177.05,178.325,178.33,300,178.32,100,19818434,2023-05-31T14:59:28Z
AAPL,177.325,179.35001,177.05,178.3099,178.31,400,178.3,300,19825312,2023-05-31T14:59:33Z
AAPL,177.325,179.35001,177.05,178.325,178.33,1500,178.32,500,19829566,2023-05-31T14:59:40Z
AAPL,177.325,179.35001,177.05,178.3432,178.35,100,178.34,300,19838977,2023-05-31T14:59:44Z
AAPL,177.325,179.35001,177.05,178.36,178.37,600,178.35,500,19843378,2023-05-31T14:59:48Z
AAPL,177.325,179.35001,177.05,178.365,178.37,200,178.36,200,19846281,2023-05-31T14:59:53Z
