date,_id,curtime,gettime,symbol,tradetime,last,ask,asksize,bid,bidsize,volume,vwap,open,high,low,previousclose,previousvolume,netchange,netchangepct,lvl2,close,macd,macds,macdh,macd_cross,macd_sign,start,end,max,min,r,len,accum,peak,h_s
2023-06-05T13:30:00Z,647de3585869ec113f5e66df,2023-06-05T13:30:00Z,2023-06-05T13:29:59Z,AAPL,2023-06-05T13:29:59Z,182.53,182.54,600.0,182.5,2300.0,1476074.0,0.0,0.0,0.0,0.0,180.95,61996913.0,1.58,0.0087,1714.7168498594272,182.53,0.0,0.0,0.0,0,0,2023-06-05T13:30:00Z,2023-06-05T13:30:00Z,0.0,0.0,0.0,0,0.0,2023-06-05T13:30:00Z,0.0
2023-06-05T13:30:10Z,647de3625869ec113f5e6792,2023-06-05T13:30:10Z,2023-06-05T13:30:09Z,AAPL,2023-06-05T13:30:09Z,182.155,182.08,500.0,182.04,200.0,2958046.0,182.433375661813,182.63,182.72,182.02,180.95,61996913.0,1.205,0.0067,-1005.8356866287737,182.155,-0.01682692307693401,-0.009348290598296671,-0.007478632478637337,-1,-1,2023-06-05T13:30:10Z,2023-06-05T13:30:10Z,-0.007478632478637337,-0.007478632478637337,1.0,1,-0.007478632478637337,2023-06-05T13:30:10Z,-0.007478632478637337
2023-06-05T13:30:20Z,647de36c5869ec113f5e685e,2023-06-05T13:30:20Z,2023-06-05T13:30:19Z,AAPL,2023-06-05T13:30:19Z,182.13,182.15,300.0,182.14,200.0,3216684.0,182.38795898611,182.63,182.72,181.97,180.95,61996913.0,1.18,0.0065,985.8710267175798,182.13,-0.02188290110524349,-0.0144854260519634,-0.007397475053280091,0,-1,2023-06-05T13:30:10Z,2023-06-05T13:30:20Z,-0.007397475053280091,-0.007478632478637337,0.9891480928379525,2,-0.014876107531917428,2023-06-05T13:30:10Z,-0.007397475053280091
2023-06-05T13:30:30Z,647de3765869ec113f5e6930,2023-06-05T13:30:30Z,2023-06-05T13:30:29Z,AAPL,2023-06-05T13:30:29Z,182.1,182.11,200.0,182.08,600.0,3337066.0,182.375274450928,182.63,182.72,181.97,180.95,61996913.0,1.15,0.0064,198.86103390043013,182.1,-0.024933915250130667,-0.018024887162453665,-0.006909028087677002,0,-1,2023-06-05T13:30:10Z,2023-06-05T13:30:30Z,-0.006909028087677002,-0.007478632478637337,0.9238357557230675,3,-0.02178513561959443,2023-06-05T13:30:10Z,-0.006909028087677002
2023-06-05T13:30:40Z,647de3805869ec113f5e69fb,2023-06-05T13:30:40Z,2023-06-05T13:30:39Z,AAPL,2023-06-05T13:30:39Z,182.15,182.16,400.0,182.15,300.0,3435149.0,182.362781166831,182.63,182.72,181.97,180.95,61996913.0,1.2,0.0066,1563.2960674463443,182.15,-0.02082804432123453,-0.018858763042624082,-0.001969281278610447,0,-1,2023-06-05T13:30:10Z,2023-06-05T13:30:40Z,-0.001969281278610447,-0.007478632478637337,0.2633210395397401,4,-0.023754416898204875,2023-06-05T13:30:10Z,-0.001969281278610447
2023-06-05T13:30:50Z,647de38a5869ec113f5e6ace,2023-06-05T13:30:50Z,2023-06-05T13:30:49Z,AAPL,2023-06-05T13:30:49Z,182.35,182.34,500.0,182.32,700.0,3552031.0,182.355882300061,182.63,182.72,181.97,180.95,61996913.0,1.4,0.0077,2538.5009730096626,182.35,0.000864611901306489,-0.013512631834385464,0.014377243735691953,1,1,2023-06-05T13:30:50Z,2023-06-05T13:30:50Z,0.014377243735691953,0.014377243735691953,1.0,1,0.014377243735691953,2023-06-05T13:30:50Z,0.014377243735691953
2023-06-05T13:31:00Z,647de3945869ec113f5e6b9d,2023-06-05T13:31:00Z,2023-06-05T13:30:59Z,AAPL,2023-06-05T13:30:59Z,182.3357,182.35,700.0,182.33,2100.0,3658375.0,182.354321343649,182.63,182.72,181.97,180.95,61996913.0,1.3857,0.0077,-795.8065870795918,182.3357,0.011286273269433877,-0.007236690527196122,0.01852296379663,0,1,2023-06-05T13:30:50Z,2023-06-05T13:31:00Z,0.01852296379663,0.014377243735691953,1.0,2,0.03290020753232195,2023-06-05T13:31:00Z,0.01852296379663
2023-06-05T13:31:10Z,647de39e5869ec113f5e6c70,2023-06-05T13:31:10Z,2023-06-05T13:31:09Z,AAPL,2023-06-05T13:31:09Z,182.35,182.37,500.0,182.34,300.0,3815664.0,182.352345971883,182.63,182.72,181.97,180.95,61996913.0,1.4,0.0077,908.196327663567,182.35,0.018184531565594853,-0.0011274928121110396,0.01931202437770589,0,1,2023-06-05T13:30:50Z,2023-06-05T13:31:10Z,0.01931202437770589,0.014377243735691953,1.0,3,0.05221223191002784,2023-06-05T13:31:10Z,0.01931202437770589
2023-06-05T13:31:20Z,647de3a85869ec113f5e6d41,2023-06-05T13:31:20Z,2023-06-05T13:31:19Z,AAPL,2023-06-05T13:31:19Z,182.51,182.52,400.0,182.5,300.0,3918988.0,182.355029831773,182.63,182.72,181.97,180.95,61996913.0,1.56,0.0086,-1433.5611034299932,182.51,0.038958154689311186,0.008132490626640227,0.03082566406267096,0,1,2023-06-05T13:30:50Z,2023-06-05T13:31:20Z,0.03082566406267096,0.014377243735691953,1.0,4,0.08303789597269881,2023-06-05T13:31:20Z,0.03082566406267096
2023-06-05T13:31:30Z,647de3b25869ec113f5e6e12,2023-06-05T13:31:30Z,2023-06-05T13:31:29Z,AAPL,2023-06-05T13:31:29Z,182.5268,182.53,300.0,182.52,400.0,4139448.0,182.368789561217,182.63,182.72,181.97,180.95,61996913.0,1.5768,0.0087,978.2501952810926,182.5268,0.051424952497654886,0.017832515209710197,0.033592437287944685,0,1,2023-06-05T13:30:50Z,2023-06-05T13:31:30Z,0.033592437287944685,0.014377243735691953,1.0,5,0.1166303332606435,2023-06-05T13:31:30Z,0.033592437287944685
2023-06-05T13:31:40Z,647de3bc5869ec113f5e6ee2,2023-06-05T13:31:40Z,2023-06-05T13:31:39Z,AAPL,2023-06-05T13:31:39Z,182.5566,182.56,800.0,182.55,400.0,4254592.0,182.375172112845,182.63,182.72,181.97,180.95,61996913.0,1.6066,0.0089,-525.1005439833198,182.5566,0.060165987399244614,0.02709483703402638,0.03307115036521824,0,1,2023-06-05T13:30:50Z,2023-06-05T13:31:40Z,0.033592437287944685,0.014377243735691953,0.9844820154531174,6,0.14970148362586172,2023-06-05T13:31:30Z,0.03307115036521824
2023-06-05T13:31:50Z,647de3c65869ec113f5e6fa4,2023-06-05T13:31:50Z,2023-06-05T13:31:49Z,AAPL,2023-06-05T13:31:49Z,182.8,182.8,2000.0,182.79,200.0,4434161.0,182.394634009955,182.63,182.8,181.97,180.95,61996913.0,1.85,0.0102,745.8706771218531,182.8,0.09239468663875527,0.041118506159170884,0.05127618047958439,0,1,2023-06-05T13:30:50Z,2023-06-05T13:31:50Z,0.05127618047958439,0.014377243735691953,1.0,7,0.2009776641054461,2023-06-05T13:31:50Z,0.05127618047958439
2023-06-05T13:32:00Z,647de3d05869ec113f5e7061,2023-06-05T13:32:00Z,2023-06-05T13:31:59Z,AAPL,2023-06-05T13:31:59Z,182.6899,182.69,200.0,182.68,300.0,4602543.0,182.412702340468,182.63,182.82001,181.97,180.95,61996913.0,1.7399,0.0096,-2327.2863180045965,182.6899,0.09427098903373121,0.05236741821430545,0.041903570819425764,0,1,2023-06-05T13:30:50Z,2023-06-05T13:32:00Z,0.05127618047958439,0.014377243735691953,0.8172131860739836,8,0.24288123492487185,2023-06-05T13:31:50Z,0.041903570819425764
2023-06-05T13:32:10Z,647de3da5869ec113f5e712e,2023-06-05T13:32:10Z,2023-06-05T13:32:09Z,AAPL,2023-06-05T13:32:09Z,182.805,182.82,200.0,182.79,300.0,4724460.0,182.422959336298,182.63,182.82001,181.97,180.95,61996913.0,1.855,0.0103,40.78818502056822,182.805,0.10606178955430323,0.06360032076084897,0.04246146879345426,0,1,2023-06-05T13:30:50Z,2023-06-05T13:32:10Z,0.05127618047958439,0.014377243735691953,0.828093442146306,9,0.2853427037183261,2023-06-05T13:31:50Z,0.04246146879345426
2023-06-05T13:32:20Z,647de3e45869ec113f5e71ec,2023-06-05T13:32:20Z,2023-06-05T13:32:19Z,AAPL,2023-06-05T13:32:19Z,182.91,182.93,100.0,182.9,300.0,4888237.0,182.444418233399,182.63,182.95,181.97,180.95,61996913.0,1.96,0.0108,-321.7313575183951,182.91,0.12235348376157162,0.07577946904598269,0.04657401471558893,0,1,2023-06-05T13:30:50Z,2023-06-05T13:32:20Z,0.05127618047958439,0.014377243735691953,0.9082972694140582,10,0.331916718433915,2023-06-05T13:31:50Z,0.04657401471558893
