{'Time': '2023-07-24T13:30:00Z', 'SELL': 193.46, 'BUY': 193.49}
{'Time': '2023-07-24T13:30:10Z', 'BUY': 193.36, 'SELL': 193.35}
{'Time': '2023-07-24T13:30:20Z', 'BUY': 193.66, 'SELL': 193.64}
{'Time': '2023-07-24T13:30:30Z', 'BUY': 193.69, 'SELL': 193.64}
{'Time': '2023-07-24T13:30:40Z', 'BUY': 193.77, 'SELL': 193.73}
{'Time': '2023-07-24T13:30:50Z', 'SELL': 193.75, 'BUY': 193.77}
{'Time': '2023-07-24T13:31:00Z', 'SELL': 193.78, 'BUY': 193.78}
{'Time': '2023-07-24T13:31:10Z', 'BUY': 193.78, 'SELL': 193.75}
{'Time': '2023-07-24T13:31:20Z', 'BUY': 193.84, 'SELL': 193.8}
{'Time': '2023-07-24T13:31:30Z', 'BUY': 193.72, 'SELL': 193.7}
{'Time': '2023-07-24T13:31:40Z', 'BUY': 193.78, 'SELL': 193.75}
{'Time': '2023-07-24T13:31:50Z', 'SELL': 193.85, 'BUY': 193.89}
{'Time': '2023-07-24T13:32:00Z', 'SELL': 193.9, 'BUY': 193.95}
{'Time': '2023-07-24T13:32:10Z', 'BUY': 193.86, 'SELL': 193.84}
{'Time': '2023-07-24T13:32:20Z', 'BUY': 193.87, 'SELL': 193.84}
{'Time': '2023-07-24T13:32:30Z', 'SELL': 193.78, 'BUY': 193.8}
{'Time': '2023-07-24T13:32:40Z', 'BUY': 193.9, 'SELL': 193.87}
{'Time': '2023-07-24T13:32:50Z', 'SELL': 193.86, 'BUY': 193.88}
{'Time': '2023-07-24T13:33:00Z', 'SELL': 193.89, 'BUY': 193.92}
{'Time': '2023-07-24T13:33:10Z', 'SELL': 193.94, 'BUY': 193.96}
{'Time': '2023-07-24T13:33:20Z', 'BUY': 194.0, 'SELL': 193.96}
{'Time': '2023-07-24T13:33:30Z', 'SELL': 194.03, 'BUY': 194.07}
{'Time': '2023-07-24T13:33:40Z', 'BUY': 194.14, 'SELL': 194.11}
{'Time': '2023-07-24T13:33:50Z', 'BUY': 194.26, 'SELL': 194.24}
{'Time': '2023-07-24T13:34:00Z', 'SELL': 194.18, 'BUY': 194.19}
{'Time': '2023-07-24T13:34:10Z', 'BUY': 194.2, 'SELL': 194.17}
{'Time': '2023-07-24T13:34:20Z', 'SELL': 194.17, 'BUY': 194.21}
{'Time': '2023-07-24T13:34:30Z', 'SELL': 194.19, 'BUY': 194.21}
{'Time': '2023-07-24T13:34:40Z', 'BUY': 194.32, 'SELL': 194.29}
{'Time': '2023-07-24T13:34:50Z', 'BUY': 194.49, 'SELL': 194.46}
{'Time': '2023-07-24T13:35:00Z', 'BUY': 194.48, 'SELL': 194.47}
{'Time': '2023-07-24T13:35:10Z', 'SELL': 194.48, 'BUY': 194.5}
{'Time': '2023-07-24T13:35:20Z', 'SELL': 194.49, 'BUY': 194.52}
{'Time': '2023-07-24T13:35:30Z', 'SELL': 194.55, 'BUY': 194.56}
{'Time': '2023-07-24T13:35:40Z', 'BUY': 194.58, 'SELL': 194.57}
{'Time': '2023-07-24T13:35:50Z', 'SELL': 194.56, 'BUY': 194.58}
{'Time': '2023-07-24T13:36:00Z', 'SELL': 194.64, 'BUY': 194.65}
{'Time': '2023-07-24T13:36:10Z', 'SELL': 194.58, 'BUY': 194.6}
{'Time': '2023-07-24T13:36:20Z', 'SELL': 194.7, 'BUY': 194.71}
{'Time': '2023-07-24T13:36:30Z', 'SELL': 194.71, 'BUY': 194.73}
{'Time': '2023-07-24T13:36:40Z', 'BUY': 194.62, 'SELL': 194.61}
{'Time': '2023-07-24T13:36:50Z', 'SELL': 194.56, 'BUY': 194.58}
{'Time': '2023-07-24T13:37:00Z', 'BUY': 194.6, 'SELL': 194.59}
{'Time': '2023-07-24T13:37:10Z', 'SELL': 194.58, 'BUY': 194.6}
{'Time': '2023-07-24T13:37:20Z', 'BUY': 194.54, 'SELL': 194.53}
{'Time': '2023-07-24T13:37:30Z', 'BUY': 194.46, 'SELL': 194.44}
{'Time': '2023-07-24T13:37:40Z', 'SELL': 194.56, 'BUY': 194.58}
