{'Time': '2023-07-31T13:30:00Z', 'SELL': 133.17, 'BUY': 133.21}
{'Time': '2023-07-31T13:30:10Z', 'BUY': 132.96, 'SELL': 132.92}
{'Time': '2023-07-31T13:30:20Z', 'SELL': 132.82, 'BUY': 132.84}
{'Time': '2023-07-31T13:30:30Z', 'BUY': 133.03, 'SELL': 133.0}
{'Time': '2023-07-31T13:30:40Z', 'BUY': 133.08, 'SELL': 133.05}
{'Time': '2023-07-31T13:30:50Z', 'SELL': 132.86, 'BUY': 132.88}
{'Time': '2023-07-31T13:31:00Z', 'SELL': 132.73, 'BUY': 132.75}
{'Time': '2023-07-31T13:31:10Z', 'SELL': 132.91, 'BUY': 132.93}
{'Time': '2023-07-31T13:31:20Z', 'SELL': 133.01, 'BUY': 133.08}
{'Time': '2023-07-31T13:31:30Z', 'SELL': 133.07, 'BUY': 133.08}
{'Time': '2023-07-31T13:31:40Z', 'BUY': 133.34, 'SELL': 133.3}
{'Time': '2023-07-31T13:31:50Z', 'BUY': 133.39, 'SELL': 133.35}
{'Time': '2023-07-31T13:32:00Z', 'BUY': 133.41, 'SELL': 133.38}
{'Time': '2023-07-31T13:32:10Z', 'BUY': 133.37, 'SELL': 133.34}
{'Time': '2023-07-31T13:32:20Z', 'SELL': 133.29, 'BUY': 133.33}
{'Time': '2023-07-31T13:32:30Z', 'BUY': 133.47, 'SELL': 133.43}
{'Time': '2023-07-31T13:32:40Z', 'SELL': 133.4, 'BUY': 133.45}
{'Time': '2023-07-31T13:32:50Z', 'BUY': 133.45, 'SELL': 133.44}
{'Time': '2023-07-31T13:33:00Z', 'SELL': 133.52, 'BUY': 133.55}
{'Time': '2023-07-31T13:33:10Z', 'SELL': 133.47, 'BUY': 133.49}
{'Time': '2023-07-31T13:33:20Z', 'SELL': 133.28, 'BUY': 133.31}
{'Time': '2023-07-31T13:33:30Z', 'BUY': 133.32, 'SELL': 133.28}
{'Time': '2023-07-31T13:33:40Z', 'BUY': 133.13, 'SELL': 133.12}
{'Time': '2023-07-31T13:33:50Z', 'BUY': 133.03, 'SELL': 133.0}
{'Time': '2023-07-31T13:34:00Z', 'SELL': 132.84, 'BUY': 132.87}
{'Time': '2023-07-31T13:34:10Z', 'BUY': 132.67, 'SELL': 132.64}
{'Time': '2023-07-31T13:34:20Z', 'SELL': 132.68, 'BUY': 132.67}
{'Time': '2023-07-31T13:34:30Z', 'SELL': 132.71, 'BUY': 132.75}
{'Time': '2023-07-31T13:34:40Z', 'BUY': 132.67, 'SELL': 132.65}
{'Time': '2023-07-31T13:34:50Z', 'BUY': 133.04, 'SELL': 132.99}
{'Time': '2023-07-31T13:35:00Z', 'SELL': 133.13, 'BUY': 133.17}
{'Time': '2023-07-31T13:35:10Z', 'SELL': 132.98, 'BUY': 133.03}
