{'Time': '2023-06-09T13:30:00Z', 'Last': 390.29, 'Ask': 390.52, 'Bid': 390.29, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:30:10Z', 'Last': 324.56, 'Ask': 324.58, 'Bid': 324.52, 'BUY': 124.65, 'SELL': 124.59, 'BUYTOCOVER': 122.61, 'SELLSHORT': 377.47}
{'Time': '2023-06-09T13:30:20Z', 'Last': 181.78, 'Ask': 181.81, 'Bid': 181.77, 'BUY': 16.81, 'SELL': 16.5, 'BUYTOCOVER': 124.59, 'SELLSHORT': 181.76}
{'Time': '2023-06-09T13:30:30Z', 'Last': 181.86, 'Ask': 181.86, 'Bid': 181.84, 'BUY': 27.65, 'SELL': 263.29, 'BUYTOCOVER': 122.8, 'SELLSHORT': 377.51}
{'Time': '2023-06-09T13:30:40Z', 'Last': 181.95, 'Ask': 181.96, 'Bid': 181.93, 'BUY': 124.49, 'SELL': 263.5, 'BUYTOCOVER': 263.83, 'SELLSHORT': 181.97}
{'Time': '2023-06-09T13:30:50Z', 'Last': 324.95, 'Ask': 324.95, 'Bid': 324.87, 'BUY': 263.99, 'SELL': 181.79, 'BUYTOCOVER': 27.63, 'SELLSHORT': 392.44}
{'Time': '2023-06-09T13:31:00Z', 'Last': 324.63, 'Ask': 324.63, 'Bid': 324.56, 'BUY': 124.12, 'SELL': 122.49, 'BUYTOCOVER': 264.5, 'SELLSHORT': 124.1}
{'Time': '2023-06-09T13:31:10Z', 'Last': 325.29, 'Ask': 325.35, 'Bid': 325.28, 'BUY': 124.32, 'SELL': 247.14, 'BUYTOCOVER': 247.22, 'SELLSHORT': 124.3}
{'Time': '2023-06-09T13:31:20Z', 'Last': 325.53, 'Ask': 325.6, 'Bid': 325.51, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:31:30Z', 'Last': 325.28, 'Ask': 325.35, 'Bid': 325.29, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:31:40Z', 'Last': 181.81, 'Ask': 181.82, 'Bid': 181.81, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:31:50Z', 'Last': 325.59, 'Ask': 325.61, 'Bid': 325.55, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:32:00Z', 'Last': 16.76, 'Ask': 16.83, 'Bid': 16.67, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:32:10Z', 'Last': 181.94, 'Ask': 181.95, 'Bid': 181.93, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:32:20Z', 'Last': None, 'Ask': None, 'Bid': None, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:32:30Z', 'Last': 181.95, 'Ask': 181.94, 'Bid': 181.92, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
