,TradeTime,Last,Ask,Bid,VolumeSum,Sign,Sign Change,Balance Change,Short Balance Change,Rounded Last,Last Balance Change
0,2023-06-06T13:30:08Z,126.41,126.43,126.4,200.0,True,1,-126.43,-126.43,126.41,-126.41
1,2023-06-06T13:31:28Z,126.27,126.29,126.26,200.0,True,0,,,126.27,
2,2023-06-06T13:31:58Z,126.4038,126.41,126.38,-898.0,False,-1,126.38,126.38,126.4,126.4
3,2023-06-06T13:32:08Z,126.19,126.21,126.17,430.0,True,1,-126.21,-126.21,126.19,-126.19
4,2023-06-06T13:32:17Z,126.33,126.32,126.3,445.0,True,0,,,126.33,
5,2023-06-06T13:32:27Z,126.375,126.37,126.33,-722.0,False,-1,126.33,126.33,126.37,126.37
6,2023-06-06T13:34:18Z,126.69,126.7,126.68,-653.0,False,0,,,126.69,
7,2023-06-06T13:35:58Z,126.39,126.38,126.36,-240.0,False,0,,,126.39,
8,2023-06-06T13:36:17Z,126.43,126.46,126.45,807.0,True,1,-126.46,-126.46,126.43,-126.43
9,2023-06-06T13:36:38Z,126.62,126.64,126.62,-827.0,False,-1,126.62,126.62,126.62,126.62
10,2023-06-06T13:36:55Z,126.59,126.6,126.58,-253.0,False,0,,,126.59,
11,2023-06-06T13:38:09Z,126.36,126.37,126.35,1104.0,True,1,-126.37,-126.37,126.36,-126.36
12,2023-06-06T13:39:09Z,126.15,126.15,126.13,-487.0,False,-1,126.13,126.13,126.15,126.15
13,2023-06-06T13:39:38Z,126.27,126.31,126.29,1235.0,True,1,-126.31,-126.31,126.27,-126.27
14,2023-06-06T13:39:59Z,126.48,126.49,126.47,-243.0,False,-1,126.47,126.47,126.48,126.48
15,2023-06-06T13:40:48Z,126.52,126.48,126.47,-962.0,False,0,,,126.52,
16,2023-06-06T13:41:08Z,126.33,126.39,126.37,929.0,True,1,-126.39,-126.39,126.33,-126.33
17,2023-06-06T13:42:48Z,126.43,126.45,126.43,55.0,True,0,,,126.43,
18,2023-06-06T13:43:28Z,126.4,126.4,126.38,-552.0,False,-1,126.38,126.38,126.4,126.4
19,2023-06-06T13:44:28Z,126.53,126.52,126.51,-1350.0,False,0,,,126.53,
20,2023-06-06T13:46:48Z,126.68,126.71,126.7,1063.0,True,1,-126.71,-126.71,126.68,-126.68
21,2023-06-06T13:49:27Z,126.9899,126.99,126.97,1480.0,True,0,,,126.98,
22,2023-06-06T13:50:39Z,126.73,126.73,126.72,-1034.0,False,-1,126.72,126.72,126.73,126.73
23,2023-06-06T13:50:49Z,126.6552,126.66,126.65,1120.0,True,1,-126.66,-126.66,126.65,-126.65
24,2023-06-06T13:51:17Z,126.53,126.48,126.47,-1425.0,False,-1,126.47,126.47,126.53,126.53
25,2023-06-06T13:52:38Z,126.41,126.42,126.4,-1418.0,False,0,,,126.41,
26,2023-06-06T13:53:58Z,126.69,126.69,126.67,-100.0,False,0,,,126.69,
27,2023-06-06T14:01:09Z,126.71,126.72,126.7,-1059.0,False,0,,,126.71,
28,2023-06-06T14:03:18Z,126.8731,126.88,126.87,1334.0,True,1,-126.88,-126.88,126.87,-126.87
29,2023-06-06T14:30:19Z,127.67,127.67,127.66,-1137.0,False,-1,127.66,127.66,127.67,127.67
30,2023-06-06T14:39:57Z,127.845,127.83,127.82,-400.0,False,0,,,127.84,
31,2023-06-06T15:09:46Z,127.995,128.0,127.99,-330.0,False,0,,,127.99,
32,2023-06-06T15:09:58Z,127.89,127.88,127.87,-1157.0,False,0,,,127.89,
33,2023-06-06T15:17:08Z,128.015,128.02,128.01,295.0,True,1,-128.02,-128.02,128.01,-128.01
34,2023-06-06T15:17:16Z,128.05,128.04,128.03,-141.0,False,-1,128.03,128.03,128.05,128.05
35,2023-06-06T15:17:37Z,128.04,128.05,128.04,-1684.0,False,0,,,128.04,
36,2023-06-06T15:24:18Z,127.69,127.72,127.71,100.0,True,1,-127.72,-127.72,127.69,-127.69
37,2023-06-06T15:39:39Z,127.74,127.77,127.76,176.0,True,0,,,127.74,
38,2023-06-06T15:43:33Z,127.71,127.75,127.74,1350.0,True,0,,,127.71,
39,2023-06-06T16:15:18Z,128.35,128.39,128.38,1394.0,True,0,,,128.35,
40,2023-06-06T16:33:58Z,128.405,128.41,128.4,-259.0,False,-1,128.4,128.4,128.4,128.4
41,2023-06-06T17:00:58Z,128.1362,128.14,128.12,-1594.0,False,0,,,128.13,
42,2023-06-06T17:48:17Z,128.215,128.22,128.21,-347.0,False,0,,,128.21,
43,2023-06-06T18:06:59Z,128.21,128.21,128.2,-210.0,False,0,,,128.21,
44,2023-06-06T19:39:05Z,127.868,127.86,127.85,-873.0,False,0,,,127.86,
45,2023-06-06T19:55:59Z,128.1199,128.12,128.11,-2350.0,False,0,,,128.11,
