,TradeTime,Last,Ask,Bid,VolumeSum,Sign,Sign Change,Balance Change,Short Balance Change,Rounded Last,Last Balance Change
0,2023-06-05T13:28:44Z,400.3,400.94,399.71,16.0,True,1,-400.94,-400.94,400.3,-400.3
1,2023-06-05T13:30:09Z,401.39,401.39,400.66,-6.0,False,-1,400.66,400.66,401.39,401.39
2,2023-06-05T13:31:19Z,403.345,403.49,403.11,-7.0,False,0,,,403.34,
3,2023-06-05T13:33:37Z,403.72,404.19,403.76,100.0,True,1,-404.19,-404.19,403.72,-403.72
4,2023-06-05T13:35:59Z,402.74,403.13,402.66,6.0,True,0,,,402.74,
5,2023-06-05T13:36:26Z,403.4199,403.4,403.07,-6.0,False,-1,403.07,403.07,403.41,403.41
6,2023-06-05T13:41:45Z,402.69,403.04,402.73,101.0,True,1,-403.04,-403.04,402.69,-402.69
7,2023-06-05T13:42:38Z,404.44,404.47,404.24,-12.0,False,-1,404.24,404.24,404.44,404.44
8,2023-06-05T13:42:48Z,403.81,403.98,403.53,-25.0,False,0,,,403.81,
9,2023-06-05T13:43:11Z,403.7847,404.17,403.78,172.0,True,1,-404.17,-404.17,403.78,-403.78
10,2023-06-05T13:43:48Z,404.14,404.43,404.14,412.0,True,0,,,404.14,
11,2023-06-05T13:45:11Z,403.67,403.81,403.7,160.0,True,0,,,403.67,
12,2023-06-05T13:48:07Z,404.6801,405.13,404.68,25.0,True,0,,,404.68,
13,2023-06-05T13:48:38Z,405.43,405.51,405.01,-24.0,False,-1,405.01,405.01,405.43,405.43
14,2023-06-05T13:55:56Z,404.3799,404.38,403.87,-49.0,False,0,,,404.37,
15,2023-06-05T13:56:47Z,404.195,404.37,404.02,-100.0,False,0,,,404.19,
16,2023-06-05T13:57:38Z,404.0899,404.09,403.73,-30.0,False,0,,,404.08,
17,2023-06-05T13:58:27Z,404.6799,404.68,404.31,-25.0,False,0,,,404.67,
18,2023-06-05T13:59:47Z,404.234,404.56,404.25,100.0,True,1,-404.56,-404.56,404.23,-404.23
19,2023-06-05T13:59:59Z,403.7501,404.23,403.75,25.0,True,0,,,403.75,
20,2023-06-05T14:01:25Z,404.7828,405.1,404.76,3.0,True,0,,,404.78,
21,2023-06-05T14:01:36Z,405.1,405.05,404.78,-517.0,False,-1,404.78,404.78,405.1,405.1
22,2023-06-05T14:05:09Z,406.0799,406.05,405.7,-425.0,False,0,,,406.07,
23,2023-06-05T14:05:28Z,406.07,406.42,406.04,32.0,True,1,-406.42,-406.42,406.07,-406.07
24,2023-06-05T14:07:37Z,407.453,407.72,407.53,301.0,True,0,,,407.45,
25,2023-06-05T14:08:17Z,407.4187,407.46,407.18,-3.0,False,-1,407.18,407.18,407.41,407.41
26,2023-06-05T14:11:08Z,407.94,408.44,407.96,500.0,True,1,-408.44,-408.44,407.94,-407.94
27,2023-06-05T14:13:09Z,408.695,408.7,408.43,-108.0,False,-1,408.43,408.43,408.69,408.69
28,2023-06-05T14:14:27Z,408.67,408.62,408.43,-300.0,False,0,,,408.67,
29,2023-06-05T14:14:39Z,408.0192,408.15,408.0,-3.0,False,0,,,408.01,
30,2023-06-05T14:16:06Z,407.0501,407.31,407.06,1.0,True,1,-407.31,-407.31,407.05,-407.05
31,2023-06-05T14:16:14Z,407.51,407.72,407.4,406.0,True,0,,,407.51,
32,2023-06-05T14:16:49Z,407.3814,407.51,407.23,-345.0,False,-1,407.23,407.23,407.38,407.38
33,2023-06-05T14:17:16Z,407.2241,407.48,407.22,5.0,True,1,-407.48,-407.48,407.22,-407.22
34,2023-06-05T14:17:47Z,407.6701,407.94,407.67,21.0,True,0,,,407.67,
35,2023-06-05T14:18:49Z,408.0215,408.33,408.05,100.0,True,0,,,408.02,
36,2023-06-05T14:21:08Z,408.12,408.43,408.18,450.0,True,0,,,408.12,
37,2023-06-05T14:21:39Z,409.1,409.2,408.87,525.0,True,0,,,409.1,
38,2023-06-05T14:22:16Z,408.57,408.67,408.5,214.0,True,0,,,408.57,
39,2023-06-05T14:22:37Z,409.0999,409.1,408.9,-236.0,False,-1,408.9,408.9,409.09,409.09
40,2023-06-05T14:24:34Z,409.3201,409.5,409.32,100.0,True,1,-409.5,-409.5,409.32,-409.32
41,2023-06-05T14:25:36Z,409.08,409.34,409.15,624.0,True,0,,,409.08,
42,2023-06-05T14:26:29Z,409.29,409.33,409.15,-6.0,False,-1,409.15,409.15,409.29,409.29
43,2023-06-05T14:27:08Z,408.3799,408.24,408.12,-211.0,False,0,,,408.37,
44,2023-06-05T14:27:39Z,407.6101,408.0,407.61,6.0,True,1,-408.0,-408.0,407.61,-407.61
45,2023-06-05T14:28:56Z,408.175,408.27,407.91,-30.0,False,-1,407.91,407.91,408.17,408.17
46,2023-06-05T14:29:09Z,407.7495,408.13,407.73,4.0,True,1,-408.13,-408.13,407.74,-407.74
47,2023-06-05T14:29:56Z,407.8,407.88,407.63,-2.0,False,-1,407.63,407.63,407.8,407.8
48,2023-06-05T14:31:48Z,407.74,407.74,407.36,-1.0,False,0,,,407.74,
49,2023-06-05T14:32:09Z,407.4601,407.8,407.46,25.0,True,1,-407.8,-407.8,407.46,-407.46
50,2023-06-05T14:34:29Z,407.52,407.71,407.5,13.0,True,0,,,407.52,
51,2023-06-05T14:35:39Z,408.22,408.22,407.85,-825.0,False,-1,407.85,407.85,408.22,408.22
52,2023-06-05T14:37:34Z,408.535,408.52,408.29,-400.0,False,0,,,408.53,
53,2023-06-05T14:38:23Z,408.14,408.11,407.97,-225.0,False,0,,,408.14,
54,2023-06-05T14:38:39Z,407.98,407.98,407.82,-200.0,False,0,,,407.98,
55,2023-06-05T14:39:57Z,407.83,407.81,407.5,-4.0,False,0,,,407.83,
56,2023-06-05T14:40:05Z,407.6,407.61,407.36,-4.0,False,0,,,407.6,
57,2023-06-05T14:40:15Z,407.56,407.91,407.49,13.0,True,1,-407.91,-407.91,407.56,-407.56
58,2023-06-05T14:41:18Z,408.0283,408.0,407.77,-300.0,False,-1,407.77,407.77,408.02,408.02
59,2023-06-05T14:42:28Z,408.8846,409.14,408.89,9.0,True,1,-409.14,-409.14,408.88,-408.88
60,2023-06-05T14:43:38Z,409.11,409.29,409.13,2.0,True,0,,,409.11,
61,2023-06-05T14:48:18Z,410.23,410.44,410.23,25.0,True,0,,,410.23,
62,2023-06-05T14:48:49Z,409.7601,410.0,409.76,25.0,True,0,,,409.76,
63,2023-06-05T14:50:15Z,409.99,409.94,409.78,-101.0,False,-1,409.78,409.78,409.99,409.99
64,2023-06-05T14:50:57Z,409.595,409.93,409.66,507.0,True,1,-409.93,-409.93,409.59,-409.59
65,2023-06-05T14:52:33Z,409.4774,409.45,409.3,-22.0,False,-1,409.3,409.3,409.47,409.47
66,2023-06-05T14:54:18Z,409.7199,409.72,409.54,-10.0,False,0,,,409.71,
67,2023-06-05T14:55:28Z,410.7395,410.7,410.53,-100.0,False,0,,,410.73,
68,2023-06-05T14:58:45Z,410.4797,410.4,410.15,-700.0,False,0,,,410.47,
69,2023-06-05T15:00:08Z,410.5933,410.78,410.47,11.0,True,1,-410.78,-410.78,410.59,-410.59
