{'Time': '2023-07-24T13:30:00Z', 'SELL': 447.35, 'BUY': 447.6}
{'Time': '2023-07-24T13:30:10Z', 'SELL': 448.44, 'BUY': 448.8}
{'Time': '2023-07-24T13:30:20Z', 'SELL': 447.66, 'BUY': 447.96}
{'Time': '2023-07-24T13:30:30Z', 'SELL': 447.76, 'BUY': 448.0}
{'Time': '2023-07-24T13:30:40Z', 'SELL': 447.14, 'BUY': 447.69}
{'Time': '2023-07-24T13:30:50Z', 'BUY': 448.42, 'SELL': 448.0}
{'Time': '2023-07-24T13:31:00Z', 'SELL': 447.96, 'BUY': 448.16}
{'Time': '2023-07-24T13:31:10Z', 'SELL': 448.29, 'BUY': 448.62}
{'Time': '2023-07-24T13:31:20Z', 'BUY': 448.22, 'SELL': 447.8}
{'Time': '2023-07-24T13:31:30Z', 'SELL': 448.06, 'BUY': 448.26}
{'Time': '2023-07-24T13:31:40Z', 'SELL': 447.8, 'BUY': 448.0}
{'Time': '2023-07-24T13:31:50Z', 'BUY': 448.35, 'SELL': 448.17}
{'Time': '2023-07-24T13:32:00Z', 'BUY': 448.27, 'SELL': 448.07}
{'Time': '2023-07-24T13:32:10Z', 'BUY': 448.46, 'SELL': 448.2}
{'Time': '2023-07-24T13:32:20Z', 'SELL': 447.67, 'BUY': 447.87}
{'Time': '2023-07-24T13:32:30Z', 'BUY': 448.15, 'SELL': 447.87}
{'Time': '2023-07-24T13:32:40Z', 'BUY': 448.32, 'SELL': 448.16}
{'Time': '2023-07-24T13:32:50Z', 'SELL': 447.74, 'BUY': 447.99}
{'Time': '2023-07-24T13:33:00Z', 'SELL': 447.86, 'BUY': 448.16}
{'Time': '2023-07-24T13:33:10Z', 'BUY': 447.9, 'SELL': 447.78}
{'Time': '2023-07-24T13:33:20Z', 'SELL': 447.73, 'BUY': 447.89}
{'Time': '2023-07-24T13:33:30Z', 'SELL': 447.59, 'BUY': 447.79}
{'Time': '2023-07-24T13:33:40Z', 'SELL': 447.65, 'BUY': 447.86}
{'Time': '2023-07-24T13:33:50Z', 'SELL': 447.64, 'BUY': 447.73}
{'Time': '2023-07-24T13:34:00Z', 'SELL': 447.89, 'BUY': 447.96}
{'Time': '2023-07-24T13:34:10Z', 'SELL': 447.6, 'BUY': 447.92}
{'Time': '2023-07-24T13:34:20Z', 'BUY': 448.39, 'SELL': 448.14}
{'Time': '2023-07-24T13:34:30Z', 'BUY': 448.0, 'SELL': 447.82}
{'Time': '2023-07-24T13:34:40Z', 'BUY': 447.7, 'SELL': 447.59}
{'Time': '2023-07-24T13:34:50Z', 'SELL': 447.14, 'BUY': 447.37}
{'Time': '2023-07-24T13:35:00Z', 'BUY': 446.75, 'SELL': 446.52}
{'Time': '2023-07-24T13:35:10Z', 'BUY': 446.04, 'SELL': 445.8}
{'Time': '2023-07-24T13:35:20Z', 'BUY': 445.98, 'SELL': 445.67}
{'Time': '2023-07-24T13:35:30Z', 'BUY': 447.52, 'SELL': 447.49}
{'Time': '2023-07-24T13:35:40Z', 'SELL': 447.73, 'BUY': 447.91}
{'Time': '2023-07-24T13:35:50Z', 'SELL': 447.77, 'BUY': 448.11}
{'Time': '2023-07-24T13:36:00Z', 'BUY': 448.18, 'SELL': 448.04}
{'Time': '2023-07-24T13:36:10Z', 'SELL': 447.78, 'BUY': 448.0}
{'Time': '2023-07-24T13:36:20Z', 'BUY': 448.0, 'SELL': 447.93}
{'Time': '2023-07-24T13:36:30Z', 'SELL': 447.24, 'BUY': 447.39}
{'Time': '2023-07-24T13:36:40Z', 'SELL': 446.94, 'BUY': 447.11}
{'Time': '2023-07-24T13:36:50Z', 'BUY': 446.92, 'SELL': 446.82}
{'Time': '2023-07-24T13:37:00Z', 'SELL': 447.15, 'BUY': 447.48}
{'Time': '2023-07-24T13:37:10Z', 'BUY': 447.7, 'SELL': 447.5}
{'Time': '2023-07-24T13:37:20Z', 'SELL': 447.0, 'BUY': 447.3}
{'Time': '2023-07-24T13:37:30Z', 'SELL': 447.19, 'BUY': 447.46}
{'Time': '2023-07-24T13:37:40Z', 'BUY': 447.94, 'SELL': 447.65}
{'Time': '2023-07-24T13:37:50Z', 'BUY': 447.82, 'SELL': 447.51}
{'Time': '2023-07-24T13:38:00Z', 'SELL': 447.59, 'BUY': 447.79}
{'Time': '2023-07-24T13:38:10Z', 'SELL': 447.5, 'BUY': 447.79}
{'Time': '2023-07-24T13:38:20Z', 'SELL': 447.53, 'BUY': 447.67}
{'Time': '2023-07-24T13:38:30Z', 'BUY': 447.6, 'SELL': 447.5}
{'Time': '2023-07-24T13:38:40Z', 'SELL': 448.14, 'BUY': 448.25}
{'Time': '2023-07-24T13:38:50Z', 'BUY': 447.98, 'SELL': 447.89}
{'Time': '2023-07-24T13:39:00Z', 'SELL': 447.18, 'BUY': 447.34}
{'Time': '2023-07-24T13:39:10Z', 'SELL': 446.38, 'BUY': 446.65}
{'Time': '2023-07-24T13:39:20Z', 'BUY': 446.17, 'SELL': 445.91}
{'Time': '2023-07-24T13:39:30Z', 'BUY': 446.31, 'SELL': 446.01}
{'Time': '2023-07-24T13:39:40Z', 'BUY': 446.3, 'SELL': 446.0}
{'Time': '2023-07-24T13:39:50Z', 'SELL': 446.39, 'BUY': 446.6}
{'Time': '2023-07-24T13:40:00Z', 'BUY': 446.33, 'SELL': 446.11}
{'Time': '2023-07-24T13:40:10Z', 'SELL': 445.52, 'BUY': 445.89}
{'Time': '2023-07-24T13:40:20Z', 'BUY': 445.96, 'SELL': 445.73}
{'Time': '2023-07-24T13:40:30Z', 'SELL': 446.06, 'BUY': 446.16}
{'Time': '2023-07-24T13:40:40Z', 'BUY': 446.47, 'SELL': 446.13}
{'Time': '2023-07-24T13:40:50Z', 'BUY': 446.68, 'SELL': 446.42}
{'Time': '2023-07-24T13:41:00Z', 'SELL': 446.71, 'BUY': 447.05}
{'Time': '2023-07-24T13:41:10Z', 'BUY': 446.67, 'SELL': 446.49}
{'Time': '2023-07-24T13:41:20Z', 'BUY': 446.88, 'SELL': 446.68}
{'Time': '2023-07-24T13:41:30Z', 'BUY': 446.43, 'SELL': 446.25}
{'Time': '2023-07-24T13:41:40Z', 'BUY': 446.16, 'SELL': 446.01}
{'Time': '2023-07-24T13:41:50Z', 'BUY': 446.17, 'SELL': 445.92}
{'Time': '2023-07-24T13:42:00Z', 'BUY': 445.58, 'SELL': 445.32}
{'Time': '2023-07-24T13:42:10Z', 'SELL': 445.32, 'BUY': 445.52}
{'Time': '2023-07-24T13:42:20Z', 'SELL': 445.5, 'BUY': 445.67}
{'Time': '2023-07-24T13:42:30Z', 'SELL': 445.23, 'BUY': 445.41}
{'Time': '2023-07-24T13:42:40Z', 'BUY': 444.95, 'SELL': 444.73}
{'Time': '2023-07-24T13:42:50Z', 'SELL': 444.58, 'BUY': 444.76}
{'Time': '2023-07-24T13:43:00Z', 'SELL': 444.33, 'BUY': 444.52}
{'Time': '2023-07-24T13:43:10Z', 'SELL': 444.1, 'BUY': 444.42}
{'Time': '2023-07-24T13:43:20Z', 'BUY': 444.17, 'SELL': 444.11}
{'Time': '2023-07-24T13:43:30Z', 'SELL': 444.29, 'BUY': 444.42}
