,Buy Threshold,Sell Threshold,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Sum
647,0.13,-0.22,-0.91,1.72,3.93,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.99,0.59,-1.07,1.83,5.46
597,0.14,-0.22,-1.41,1.72,3.99,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.99,0.59,-1.07,1.83,5.02
648,0.13,-0.23,-0.91,1.72,3.93,-4.96,-0.6,-1.8,2.41,0.43,0.0,1.99,0.59,-1.07,1.83,3.56
649,0.13,-0.24,-0.91,1.72,3.93,-4.96,-0.6,-1.8,2.41,0.11,0.0,1.99,0.59,-1.07,1.83,3.24
598,0.14,-0.23,-1.41,1.72,3.99,-4.96,-0.6,-1.8,2.41,0.43,0.0,1.99,0.59,-1.07,1.83,3.12
91,0.24,-0.16,0.0,1.63,0.0,-3.7,0.11,0.0,0.0,0.49,0.0,1.86,0.59,0.0,1.83,2.81
90,0.24,-0.15,0.0,1.63,0.0,-3.7,0.11,0.0,0.0,0.49,0.0,1.86,0.59,0.0,1.83,2.81
599,0.14,-0.24,-1.41,1.72,3.99,-4.96,-0.6,-1.8,2.41,0.11,0.0,1.99,0.59,-1.07,1.83,2.8
40,0.25,-0.15,0.0,1.63,0.0,-3.7,0.11,0.0,0.0,0.49,0.0,1.55,0.59,0.0,1.83,2.5
541,0.15,-0.16,-1.41,1.72,0.0,-3.35,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,2.49
540,0.15,-0.15,-1.41,1.72,0.0,-3.4,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,2.44
641,0.13,-0.16,-0.91,1.72,-0.55,-3.35,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,2.44
640,0.13,-0.15,-0.91,1.72,-0.55,-3.4,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,2.39
140,0.23,-0.15,0.0,1.63,0.0,-3.7,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,2.23
141,0.23,-0.16,0.0,1.63,0.0,-3.7,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,2.23
491,0.16,-0.16,-1.41,1.72,0.0,-3.35,-0.6,-1.8,2.41,0.34,1.9,1.86,0.59,-1.41,1.83,2.08
490,0.16,-0.15,-1.41,1.72,0.0,-3.4,-0.6,-1.8,2.41,0.34,1.9,1.86,0.59,-1.41,1.83,2.03
591,0.14,-0.16,-1.41,1.72,-0.49,-3.35,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,2.0
590,0.14,-0.15,-1.41,1.72,-0.49,-3.4,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,1.95
41,0.25,-0.16,0.0,1.63,0.0,-3.7,0.11,0.0,0.0,0.49,0.0,1.55,0.0,0.0,1.83,1.91
89,0.24,-0.14,0.0,1.01,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.86,0.59,0.0,1.83,1.75
646,0.13,-0.21,-0.91,1.72,0.19,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.99,0.59,-1.07,1.83,1.72
