Buy Threshold,Sell Threshold,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Sum
0.25,0.0,0.58,-0.01,1.75,-0.3,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.8,4.23
0.25,-0.005,0.58,-0.01,1.75,-0.3,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,4.38
0.25,-0.01,0.58,-0.01,1.75,-1.27,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,3.41
0.25,-0.015,0.58,-0.01,1.75,-1.27,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,3.41
0.25,-0.02,0.58,-0.01,3.44,-1.27,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,5.1
0.25,-0.025,0.58,-0.01,3.44,-1.27,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,5.1
0.25,-0.03,0.58,-0.01,3.44,-1.27,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,5.1
0.25,-0.035,0.58,-0.01,3.44,-1.56,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,4.81
0.25,-0.04,0.58,-0.01,3.44,-1.56,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,4.81
0.25,-0.045,0.58,-0.01,3.44,-1.56,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,4.81
0.25,-0.05,0.58,-0.01,3.44,-1.56,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,4.81
0.25,-0.055,0.58,-0.01,3.44,-1.56,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,4.81
0.25,-0.06,0.58,-0.01,3.44,-1.56,0.0,0.28,1.5,0.0,0.0,0.0,0.0,-0.37,0.95,4.81
