Buy Threshold,Sell Threshold,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,2023-07-03,2023-07-05,2023-07-06,2023-07-07,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-17,2023-07-18,2023-07-19,Sum
0.25,0.0,0.15,2.61,-4.75,-3.36,-3.48,7.45,-5.14,4.22,-5.69,-1.83,-4.51,1.0,-0.55,0.0,0.0,0.0,0.0,0.0,-0.3,-0.26,0.0,-0.3,0.48,0.0,0.0,-14.26
0.25,-0.005,0.15,2.61,-4.75,-3.36,-3.48,7.45,-5.14,4.22,-5.69,-1.83,-4.51,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.3,-0.26,0.0,-0.3,0.48,0.0,0.0,-14.11
0.25,-0.01,0.15,2.61,-4.75,-4.33,-3.48,7.45,-5.14,4.22,-5.69,-1.83,-4.51,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.3,-0.26,0.0,-0.08,0.48,0.0,0.0,-14.86
0.25,-0.015,0.15,2.61,-4.75,-4.33,-3.48,7.45,-5.14,4.22,-5.69,-1.83,-4.51,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.3,-0.26,0.0,-0.08,0.48,0.0,0.0,-14.86
0.25,-0.02,0.15,2.61,-3.06,-4.33,-3.48,7.45,-5.14,4.22,-5.69,-1.83,-4.51,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.3,-0.26,0.0,-0.08,0.48,0.0,0.0,-13.17
0.25,-0.025,0.15,2.61,-3.06,-4.33,-3.48,7.45,-5.14,4.22,-5.69,-1.83,-4.51,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.3,-0.26,0.0,-0.08,0.48,0.0,0.0,-13.17
0.25,-0.03,0.15,2.61,-3.06,-4.33,-3.48,7.45,-5.14,4.22,-5.69,-1.83,-4.51,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.3,-0.26,0.0,-0.08,0.48,0.0,0.0,-13.17
0.25,-0.035,0.15,2.61,-3.06,-4.62,-3.48,7.45,-5.14,4.22,-5.69,-1.83,-4.51,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.3,-0.16,0.0,-0.08,0.48,0.0,0.0,-13.36
0.25,-0.04,0.15,2.61,-3.06,-4.62,-3.48,7.45,-5.14,4.22,-5.69,-1.83,-4.51,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.3,-0.16,0.0,-0.08,0.48,0.0,0.0,-13.36
0.25,-0.045,0.15,2.61,-3.06,-4.62,-3.48,7.45,-5.14,4.22,-5.69,-1.83,-4.51,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.3,-0.16,0.0,-0.08,0.48,0.0,0.0,-13.36
