,Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Sum
893,0.08,-0.18,0.89,0.39,0.0,2.09,0.0,0.0,0.53,0.0,0.96,4.25,2.56,0.0,2.9,0.0,0.0,0.0,14.57
943,0.07,-0.18,0.89,0.39,0.0,2.09,0.0,-0.83,0.53,1.43,-0.39,4.25,2.56,0.0,2.9,0.0,0.49,0.0,14.31
892,0.08,-0.17,0.36,0.39,0.0,2.09,0.0,0.0,0.53,0.0,0.96,4.25,2.56,0.0,2.9,0.0,0.0,0.0,14.04
890,0.08,-0.15,0.36,0.39,0.0,2.09,0.0,0.0,0.53,0.0,0.9,4.25,2.56,0.0,2.9,0.0,0.0,0.0,13.98
891,0.08,-0.16,0.36,0.39,0.0,2.09,0.0,0.0,0.53,0.0,0.9,4.25,2.56,0.0,2.9,0.0,0.0,0.0,13.98
942,0.07,-0.17,0.36,0.39,0.0,2.09,0.0,-0.83,0.53,1.43,-0.39,4.25,2.56,0.0,2.9,0.0,0.49,0.0,13.78
941,0.07,-0.16,0.36,0.39,0.0,2.09,0.0,-0.83,0.53,1.43,-0.4,4.25,2.56,0.0,2.9,0.0,0.49,0.0,13.77
940,0.07,-0.15,0.36,0.39,0.0,2.09,0.0,-0.83,0.53,1.43,-0.4,4.25,2.56,0.0,2.9,0.0,0.49,0.0,13.77
938,0.07,-0.13,0.36,0.39,0.3,2.09,0.12,-0.83,0.53,1.43,-0.4,4.25,0.62,0.0,3.07,1.18,0.49,0.0,13.6
898,0.08,-0.23,0.89,-0.27,0.0,2.09,0.0,0.0,0.53,0.0,0.96,4.25,2.56,0.0,2.37,0.0,0.0,0.0,13.38
897,0.08,-0.22,0.89,-0.27,0.0,2.09,0.0,0.0,0.53,0.0,0.96,4.25,2.56,0.0,2.37,0.0,0.0,0.0,13.38
896,0.08,-0.21,0.89,-0.27,0.0,2.09,0.0,0.0,0.53,0.0,0.96,4.25,2.56,0.0,2.37,0.0,0.0,0.0,13.38
895,0.08,-0.2,0.89,-0.27,0.0,2.09,0.0,0.0,0.53,0.0,0.96,4.25,2.56,0.0,2.37,0.0,0.0,0.0,13.38
894,0.08,-0.19,0.89,-0.27,0.0,2.09,0.0,0.0,0.53,0.0,0.96,4.25,2.56,0.0,2.37,0.0,0.0,0.0,13.38
939,0.07,-0.14,0.36,0.39,0.0,2.09,0.0,-0.83,0.53,1.43,-0.4,4.25,0.62,0.0,3.07,1.18,0.49,0.0,13.18
946,0.07,-0.21,0.89,-0.27,0.0,2.09,0.0,-0.83,0.53,1.43,-0.39,4.25,2.56,0.0,2.37,0.0,0.49,0.0,13.12
944,0.07,-0.19,0.89,-0.27,0.0,2.09,0.0,-0.83,0.53,1.43,-0.39,4.25,2.56,0.0,2.37,0.0,0.49,0.0,13.12
945,0.07,-0.2,0.89,-0.27,0.0,2.09,0.0,-0.83,0.53,1.43,-0.39,4.25,2.56,0.0,2.37,0.0,0.49,0.0,13.12
