,Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,Sum
1573,0.175,-0.11499999999999999,0.0,3.670000000000016,0.0,-2.180000000000007,0.0,0.0,0.0,0.0,3.8899999999999864,0.0,-2.0300000000000296,3.349999999999966
1574,0.175,-0.12,0.0,3.670000000000016,0.0,-2.180000000000007,0.0,0.0,0.0,0.0,3.8899999999999864,0.0,-2.0300000000000296,3.349999999999966
1564,0.175,-0.07,0.3299999999999841,3.670000000000016,0.21000000000000796,-1.5600000000000023,1.8700000000000045,-0.839999999999975,-0.7899999999999636,0.0,6.970000000000027,-5.099999999999966,-1.830000000000041,2.930000000000092
2464,0.13,-0.07,0.3299999999999841,3.670000000000016,0.21000000000000796,-2.319999999999993,1.8700000000000045,-0.839999999999975,-0.7899999999999636,0.0,6.78000000000003,-5.099999999999966,-1.0900000000000318,2.7200000000001125
2564,0.125,-0.07,0.3299999999999841,3.670000000000016,0.21000000000000796,-2.319999999999993,1.8700000000000045,-0.839999999999975,-0.7899999999999636,0.0,6.78000000000003,-5.099999999999966,-1.0900000000000318,2.7200000000001125
1764,0.16499999999999998,-0.07,0.3299999999999841,3.670000000000016,0.21000000000000796,-1.8100000000000023,1.8700000000000045,-0.839999999999975,-0.7899999999999636,0.0,6.970000000000027,-5.099999999999966,-1.830000000000041,2.680000000000092
1864,0.16,-0.07,0.3299999999999841,3.670000000000016,0.21000000000000796,-1.8100000000000023,1.8700000000000045,-0.839999999999975,-0.7899999999999636,0.0,6.970000000000027,-5.099999999999966,-1.830000000000041,2.680000000000092
2064,0.15,-0.07,0.3299999999999841,3.670000000000016,0.21000000000000796,-1.8100000000000023,1.8700000000000045,-0.839999999999975,-0.7899999999999636,0.0,6.970000000000027,-5.099999999999966,-1.830000000000041,2.680000000000092
1664,0.16999999999999998,-0.07,0.3299999999999841,3.670000000000016,0.21000000000000796,-1.8100000000000023,1.8700000000000045,-0.839999999999975,-0.7899999999999636,0.0,6.970000000000027,-5.099999999999966,-1.830000000000041,2.680000000000092
1964,0.155,-0.07,0.3299999999999841,3.670000000000016,0.21000000000000796,-1.8100000000000023,1.8700000000000045,-0.839999999999975,-0.7899999999999636,0.0,6.970000000000027,-5.099999999999966,-1.830000000000041,2.680000000000092
1375,0.185,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.670000000000016,0.0,-2.0300000000000296,2.6399999999999864
