,CurTime,Last,Ask,Bid
0,2023-06-09T13:30:00Z,249.06,249.07,249.0
1,2023-06-09T13:30:10Z,248.8072,248.87,248.73
2,2023-06-09T13:30:20Z,248.72,248.78,248.66
3,2023-06-09T13:30:30Z,249.0299,249.03,248.94
4,2023-06-09T13:30:40Z,247.98,248.02,247.98
5,2023-06-09T13:30:50Z,247.75,247.82,247.75
6,2023-06-09T13:31:00Z,247.18,247.25,247.17
7,2023-06-09T13:31:10Z,247.29,247.31,247.21
8,2023-06-09T13:31:20Z,246.905,246.93,246.87
9,2023-06-09T13:31:30Z,246.8,246.84,246.78
10,2023-06-09T13:31:40Z,247.13,247.16,247.1
11,2023-06-09T13:31:50Z,246.8345,246.85,246.8
12,2023-06-09T13:32:00Z,246.71,246.73,246.71
13,2023-06-09T13:32:10Z,247.435,247.47,247.4
14,2023-06-09T13:32:20Z,248.0687,248.07,247.99
15,2023-06-09T13:32:30Z,247.84,247.91,247.83
16,2023-06-09T13:32:40Z,248.07,248.01,247.98
17,2023-06-09T13:32:50Z,248.3792,248.38,248.34
18,2023-06-09T13:33:00Z,247.88,247.9,247.83
19,2023-06-09T13:33:10Z,248.6601,248.75,248.66
20,2023-06-09T13:33:20Z,248.27,248.36,248.27
21,2023-06-09T13:33:30Z,248.2148,248.22,248.19
22,2023-06-09T13:33:40Z,248.28,248.34,248.26
23,2023-06-09T13:33:50Z,248.29,248.35,248.24
24,2023-06-09T13:34:00Z,247.33,247.38,247.28
25,2023-06-09T13:34:10Z,248.205,248.25,248.16
26,2023-06-09T13:34:20Z,247.788,247.8,247.71
27,2023-06-09T13:34:30Z,247.13,247.13,247.05
28,2023-06-09T13:34:40Z,246.76,246.8,246.72
29,2023-06-09T13:34:50Z,246.605,246.65,246.56
30,2023-06-09T13:35:00Z,247.94,247.94,247.87
31,2023-06-09T13:35:10Z,247.83,247.86,247.8
32,2023-06-09T13:35:20Z,247.36,247.4,247.36
33,2023-06-09T13:35:30Z,246.6163,246.71,246.6
34,2023-06-09T13:35:40Z,247.07,247.07,247.01
35,2023-06-09T13:35:50Z,246.55,246.55,246.52
36,2023-06-09T13:36:00Z,246.71,246.77,246.69
37,2023-06-09T13:36:10Z,246.36,246.42,246.36
38,2023-06-09T13:36:20Z,246.15,246.21,246.14
39,2023-06-09T13:36:30Z,245.9387,245.98,245.89
40,2023-06-09T13:36:40Z,245.8705,245.88,245.83
41,2023-06-09T13:36:50Z,245.5413,245.58,245.52
42,2023-06-09T13:37:00Z,245.258,245.29,245.22
43,2023-06-09T13:37:10Z,245.638,245.64,245.56
