,Time,VolumeSum,Long,Short,BUY,SELL,Buy Action,Sell Action,Gain
0,2023-06-09T19:00:00Z,-9.380000000009602,False,True,245.39,245.36,False,False,
1,2023-06-09T19:00:10Z,-19.456700000020504,False,True,245.38,245.35,False,False,
2,2023-06-09T19:00:20Z,-26.859999999966732,False,True,245.44,245.42,False,False,
3,2023-06-09T19:00:30Z,-15.784399999969509,False,True,245.41,245.38,False,False,
4,2023-06-09T19:00:40Z,-32.68999999998937,False,True,245.13,245.11,False,False,
5,2023-06-09T19:00:50Z,284.1599999999804,True,False,245.05,245.04,True,False,-245.05
6,2023-06-09T19:01:00Z,270.6299999998951,True,False,245.16,245.14,False,False,
7,2023-06-09T19:01:10Z,-16.789999999979045,False,True,245.22,245.19,False,True,245.19
8,2023-06-09T19:01:20Z,44.59999999999127,True,False,245.09,245.06,True,False,-245.09
9,2023-06-09T19:01:30Z,-26.705000000019993,False,True,244.89,244.85,False,True,244.85
10,2023-06-09T19:01:40Z,89.71200000002881,True,False,244.84,244.8,True,False,-244.84
11,2023-06-09T19:01:50Z,-85.15000000001237,False,True,244.85,244.81,False,True,244.81
12,2023-06-09T19:02:00Z,16.190000000020035,True,False,244.72,244.69,True,False,-244.72
13,2023-06-09T19:02:10Z,-100.44450000001424,False,True,244.59,244.55,False,True,244.55
14,2023-06-09T19:02:20Z,40.84560000000562,True,False,244.73,244.68,True,False,-244.73
15,2023-06-09T19:02:30Z,-19.52499999999307,False,True,244.68,244.64,False,True,244.64
16,2023-06-09T19:02:40Z,-43.370000000011515,False,True,244.65,244.61,False,False,
17,2023-06-09T19:02:50Z,-54.47999999999982,False,True,244.7,244.67,False,False,
18,2023-06-09T19:03:00Z,22.250799999979677,True,False,244.74,244.71,True,False,-244.74
19,2023-06-09T19:03:10Z,29.06119999997614,True,False,244.49,244.47,False,False,
20,2023-06-09T19:03:20Z,-17.609999999981113,False,True,244.62,244.59,False,True,244.59
21,2023-06-09T19:03:30Z,-15.000000000006253,False,True,244.62,244.57,False,False,
22,2023-06-09T19:03:40Z,32.515099999987484,True,False,244.73,244.69,True,False,-244.73
23,2023-06-09T19:03:50Z,-28.800399999976207,False,True,244.65,244.62,False,True,244.62
24,2023-06-09T19:04:00Z,-28.919999999964745,False,True,244.65,244.62,False,False,
25,2023-06-09T19:04:10Z,45.64999999999432,True,False,244.67,244.65,True,False,-244.67
26,2023-06-09T19:04:20Z,-2.5999999999975785,False,True,244.63,244.6,False,True,244.6
27,2023-06-09T19:04:30Z,-29.14000000004279,False,True,244.68,244.65,False,False,
28,2023-06-09T19:04:40Z,22.68000000001632,True,False,244.85,244.82,True,False,-244.85
29,2023-06-09T19:04:50Z,12.634999999997035,True,False,244.88,244.85,False,False,
30,2023-06-09T19:05:00Z,-62.07949999998502,False,True,244.81,244.8,False,True,244.8
31,2023-06-09T19:05:10Z,-41.649999999980736,False,True,244.8,244.77,False,False,
32,2023-06-09T19:05:20Z,29.540000000004397,True,False,244.81,244.77,True,False,-244.81
33,2023-06-09T19:05:30Z,-1.665000000023582,False,True,244.58,244.55,False,True,244.55
34,2023-06-09T19:05:40Z,7.078500000002606,True,False,244.57,244.54,True,False,-244.57
35,2023-06-09T19:05:50Z,11.99999999998056,True,False,244.54,244.53,False,False,
36,2023-06-09T19:06:00Z,-52.42000000002824,False,True,244.6,244.56,False,True,244.56
37,2023-06-09T19:06:10Z,-12.000000000017963,False,True,244.29,244.26,False,False,
38,2023-06-09T19:06:20Z,-97.67999999998105,False,True,244.1,244.07,False,False,
39,2023-06-09T19:06:30Z,54.596000000016744,True,False,243.93,243.89,True,False,-243.93
40,2023-06-09T19:06:40Z,26.700000000011755,True,False,243.91,243.88,False,False,
41,2023-06-09T19:06:50Z,-47.28000000001424,False,True,243.65,243.63,False,True,243.63
