{'Time': '2023-07-24T13:30:00Z', 'BUY': 255.68, 'SELL': 255.58}
{'Time': '2023-07-24T13:30:10Z', 'SELL': 255.62, 'BUY': 255.63}
{'Time': '2023-07-24T13:30:20Z', 'BUY': 256.15, 'SELL': 256.07}
{'Time': '2023-07-24T13:30:30Z', 'BUY': 255.12, 'SELL': 255.05}
{'Time': '2023-07-24T13:30:40Z', 'BUY': 254.3, 'SELL': 254.17}
{'Time': '2023-07-24T13:30:50Z', 'SELL': 255.13, 'BUY': 255.33}
{'Time': '2023-07-24T13:31:00Z', 'BUY': 255.18, 'SELL': 255.12}
{'Time': '2023-07-24T13:31:10Z', 'BUY': 255.51, 'SELL': 255.42}
{'Time': '2023-07-24T13:31:20Z', 'BUY': 255.42, 'SELL': 255.36}
{'Time': '2023-07-24T13:31:30Z', 'BUY': 255.69, 'SELL': 255.58}
{'Time': '2023-07-24T13:31:40Z', 'BUY': 255.44, 'SELL': 255.38}
{'Time': '2023-07-24T13:31:50Z', 'BUY': 256.8, 'SELL': 256.72}
{'Time': '2023-07-24T13:32:00Z', 'SELL': 256.98, 'BUY': 257.06}
{'Time': '2023-07-24T13:32:10Z', 'BUY': 257.35, 'SELL': 257.26}
{'Time': '2023-07-24T13:32:20Z', 'BUY': 257.22, 'SELL': 257.17}
{'Time': '2023-07-24T13:32:30Z', 'BUY': 256.1, 'SELL': 255.95}
{'Time': '2023-07-24T13:32:40Z', 'SELL': 255.52, 'BUY': 255.7}
{'Time': '2023-07-24T13:32:50Z', 'SELL': 255.52, 'BUY': 255.7}
{'Time': '2023-07-24T13:33:00Z', 'SELL': 255.38, 'BUY': 255.51}
{'Time': '2023-07-24T13:33:10Z', 'SELL': 256.1, 'BUY': 256.25}
{'Time': '2023-07-24T13:33:20Z', 'BUY': 257.43, 'SELL': 257.18}
{'Time': '2023-07-24T13:33:30Z', 'SELL': 257.16, 'BUY': 257.3}
{'Time': '2023-07-24T13:33:40Z', 'SELL': 257.28, 'BUY': 257.34}
{'Time': '2023-07-24T13:33:50Z', 'SELL': 257.37, 'BUY': 257.4}
{'Time': '2023-07-24T13:34:00Z', 'SELL': 256.55, 'BUY': 256.69}
{'Time': '2023-07-24T13:34:10Z', 'SELL': 256.57, 'BUY': 256.68}
{'Time': '2023-07-24T13:34:20Z', 'SELL': 257.27, 'BUY': 257.37}
{'Time': '2023-07-24T13:34:30Z', 'BUY': 257.44, 'SELL': 257.32}
{'Time': '2023-07-24T13:34:40Z', 'SELL': 257.79, 'BUY': 257.88}
{'Time': '2023-07-24T13:34:50Z', 'BUY': 257.5, 'SELL': 257.41}
{'Time': '2023-07-24T13:35:00Z', 'BUY': 257.14, 'SELL': 257.08}
{'Time': '2023-07-24T13:35:10Z', 'BUY': 257.1, 'SELL': 256.9}
{'Time': '2023-07-24T13:35:20Z', 'BUY': 256.9, 'SELL': 256.85}
{'Time': '2023-07-24T13:35:30Z', 'BUY': 257.22, 'SELL': 257.15}
{'Time': '2023-07-24T13:35:40Z', 'SELL': 257.23, 'BUY': 257.3}
{'Time': '2023-07-24T13:35:50Z', 'BUY': 256.83, 'SELL': 256.71}
{'Time': '2023-07-24T13:36:00Z', 'SELL': 256.52, 'BUY': 256.58}
{'Time': '2023-07-24T13:36:10Z', 'SELL': 256.72, 'BUY': 256.91}
{'Time': '2023-07-24T13:36:20Z', 'BUY': 256.69, 'SELL': 256.62}
{'Time': '2023-07-24T13:36:30Z', 'SELL': 255.57, 'BUY': 255.68}
{'Time': '2023-07-24T13:36:40Z', 'BUY': 255.54, 'SELL': 255.44}
{'Time': '2023-07-24T13:36:50Z', 'BUY': 255.56, 'SELL': 255.45}
{'Time': '2023-07-24T13:37:00Z', 'SELL': 255.64, 'BUY': 255.74}
{'Time': '2023-07-24T13:37:10Z', 'BUY': 256.1, 'SELL': 256.04}
{'Time': '2023-07-24T13:37:20Z', 'BUY': 255.67, 'SELL': 255.59}
{'Time': '2023-07-24T13:37:30Z', 'BUY': 255.61, 'SELL': 255.53}
{'Time': '2023-07-24T13:37:40Z', 'SELL': 255.76, 'BUY': 255.82}
{'Time': '2023-07-24T13:37:50Z', 'SELL': 256.09, 'BUY': 256.16}
{'Time': '2023-07-24T13:38:00Z', 'SELL': 256.32, 'BUY': 256.46}
{'Time': '2023-07-24T13:38:10Z', 'SELL': 256.39, 'BUY': 256.5}
{'Time': '2023-07-24T13:38:20Z', 'SELL': 256.61, 'BUY': 256.68}
{'Time': '2023-07-24T13:38:30Z', 'BUY': 256.24, 'SELL': 256.22}
{'Time': '2023-07-24T13:38:40Z', 'BUY': 256.5, 'SELL': 256.46}
{'Time': '2023-07-24T13:38:50Z', 'BUY': 256.67, 'SELL': 256.58}
{'Time': '2023-07-24T13:39:00Z', 'BUY': 256.24, 'SELL': 256.15}
{'Time': '2023-07-24T13:39:10Z', 'BUY': 255.86, 'SELL': 255.74}
{'Time': '2023-07-24T13:39:20Z', 'SELL': 256.0, 'BUY': 256.07}
{'Time': '2023-07-24T13:39:30Z', 'BUY': 256.4, 'SELL': 256.33}
{'Time': '2023-07-24T13:39:40Z', 'BUY': 256.69, 'SELL': 256.62}
{'Time': '2023-07-24T13:39:50Z', 'SELL': 257.77, 'BUY': 257.83}
{'Time': '2023-07-24T13:40:00Z', 'BUY': 258.27, 'SELL': 258.18}
{'Time': '2023-07-24T13:40:10Z', 'SELL': 258.03, 'BUY': 258.14}
{'Time': '2023-07-24T13:40:20Z', 'BUY': 258.35, 'SELL': 258.3}
{'Time': '2023-07-24T13:40:30Z', 'BUY': 258.31, 'SELL': 258.19}
{'Time': '2023-07-24T13:40:40Z', 'BUY': 258.2, 'SELL': 258.14}
{'Time': '2023-07-24T13:40:50Z', 'BUY': 258.3, 'SELL': 258.22}
{'Time': '2023-07-24T13:41:00Z', 'SELL': 258.42, 'BUY': 258.48}
{'Time': '2023-07-24T13:41:10Z', 'BUY': 257.93, 'SELL': 257.85}
{'Time': '2023-07-24T13:41:20Z', 'SELL': 258.42, 'BUY': 258.49}
{'Time': '2023-07-24T13:41:30Z', 'SELL': 258.43, 'BUY': 258.56}
{'Time': '2023-07-24T13:41:40Z', 'SELL': 258.02, 'BUY': 258.15}
{'Time': '2023-07-24T13:41:50Z', 'BUY': 258.18, 'SELL': 258.1}
{'Time': '2023-07-24T13:42:00Z', 'BUY': 258.03, 'SELL': 257.84}
{'Time': '2023-07-24T13:42:10Z', 'SELL': 257.59, 'BUY': 257.69}
{'Time': '2023-07-24T13:42:20Z', 'BUY': 257.53, 'SELL': 257.4}
{'Time': '2023-07-24T13:42:30Z', 'SELL': 257.67, 'BUY': 257.78}
{'Time': '2023-07-24T13:42:40Z', 'BUY': 257.73, 'SELL': 257.64}
{'Time': '2023-07-24T13:42:50Z', 'BUY': 257.86, 'SELL': 257.77}
{'Time': '2023-07-24T13:43:00Z', 'BUY': 258.29, 'SELL': 258.17}
{'Time': '2023-07-24T13:43:10Z', 'BUY': 257.94, 'SELL': 257.85}
{'Time': '2023-07-24T13:43:20Z', 'SELL': 257.63, 'BUY': 257.75}
{'Time': '2023-07-24T13:43:30Z', 'BUY': 257.64, 'SELL': 257.57}
{'Time': '2023-07-24T13:43:40Z', 'BUY': 257.8, 'SELL': 257.74}
{'Time': '2023-07-24T13:43:50Z', 'SELL': 258.07, 'BUY': 258.18}
{'Time': '2023-07-24T13:44:00Z', 'SELL': 258.32, 'BUY': 258.38}
{'Time': '2023-07-24T13:44:10Z', 'BUY': 258.15, 'SELL': 258.07}
{'Time': '2023-07-24T13:44:20Z', 'SELL': 258.37, 'BUY': 258.46}
{'Time': '2023-07-24T13:44:30Z', 'SELL': 258.35, 'BUY': 258.49}
{'Time': '2023-07-24T13:44:40Z', 'BUY': 258.49, 'SELL': 258.41}
{'Time': '2023-07-24T13:44:50Z', 'SELL': 258.92, 'BUY': 258.98}
{'Time': '2023-07-24T13:45:00Z', 'BUY': 258.86, 'SELL': 258.67}
{'Time': '2023-07-24T13:45:10Z', 'SELL': 258.81, 'BUY': 258.88}
{'Time': '2023-07-24T13:45:20Z', 'SELL': 258.72, 'BUY': 258.81}
{'Time': '2023-07-24T13:45:30Z', 'SELL': 258.65, 'BUY': 258.73}
{'Time': '2023-07-24T13:45:40Z', 'BUY': 258.57, 'SELL': 258.53}
