,TradeTime,Last,Ask,Bid,VolumeSum,Sign,Sign Change,Balance Change,Short Balance Change,Rounded Last,Last Balance Change
0,2023-06-08T13:25:10Z,66.55,66.8,66.32,-1778.0,False,,,,66.55,
1,2023-06-08T13:30:08Z,66.35,66.45,66.34,1.0,True,1,-66.45,-66.45,66.34,-66.34
2,2023-06-08T13:31:58Z,66.52,66.43,66.36,-600.0,False,-1,66.36,66.36,66.52,66.52
3,2023-06-08T13:32:16Z,66.4,66.48,66.35,5.0,True,1,-66.48,-66.48,66.4,-66.4
4,2023-06-08T13:32:47Z,66.42,66.6,66.51,14.0,True,0,,,66.42,
5,2023-06-08T13:34:23Z,66.31,66.28,66.18,-210.0,False,-1,66.18,66.18,66.31,66.31
6,2023-06-08T13:34:23Z,66.31,66.31,66.18,-10.0,False,0,,,66.31,
7,2023-06-08T13:41:05Z,66.4627,66.55,66.45,1.0,True,1,-66.55,-66.55,66.46,-66.46
8,2023-06-08T13:45:45Z,66.64,66.59,66.52,-319.0,False,-1,66.52,66.52,66.64,66.64
9,2023-06-08T13:56:46Z,66.27,66.27,66.17,-1.0,False,0,,,66.27,
10,2023-06-08T14:03:18Z,66.25,66.3,66.22,210.0,True,1,-66.3,-66.3,66.25,-66.25
11,2023-06-08T14:18:42Z,66.5,66.51,66.46,-302.0,False,-1,66.46,66.46,66.5,66.5
12,2023-06-08T15:09:30Z,66.8,66.82,66.8,130.0,True,1,-66.82,-66.82,66.8,-66.8
13,2023-06-08T15:24:59Z,66.96,66.93,66.9,-300.0,False,-1,66.9,66.9,66.95,66.95
14,2023-06-08T15:28:48Z,66.8799,66.85,66.82,-200.0,False,0,,,66.87,
15,2023-06-08T15:28:48Z,66.8799,66.85,66.82,-300.0,False,0,,,66.87,
16,2023-06-08T15:29:02Z,66.85,66.89,66.83,200.0,True,1,-66.89,-66.89,66.84,-66.84
17,2023-06-08T15:30:27Z,66.95,66.95,66.92,-101.0,False,-1,66.92,66.92,66.95,66.95
18,2023-06-08T15:37:11Z,66.77,66.71,66.69,-400.0,False,0,,,66.77,
19,2023-06-08T15:43:52Z,66.63,66.72,66.69,313.0,True,1,-66.72,-66.72,66.63,-66.63
20,2023-06-08T15:43:52Z,66.63,66.75,66.71,502.0,True,0,,,66.63,
21,2023-06-08T15:43:52Z,66.63,66.75,66.73,401.0,True,0,,,66.63,
22,2023-06-08T15:46:27Z,66.95,66.93,66.86,-1.0,False,-1,66.86,66.86,66.95,66.95
23,2023-06-08T15:50:37Z,67.12,67.1,67.06,-300.0,False,0,,,67.12,
24,2023-06-08T15:59:29Z,66.94,67.02,66.97,200.0,True,1,-67.02,-67.02,66.94,-66.94
25,2023-06-08T16:10:28Z,67.0,67.03,67.0,480.0,True,0,,,67.0,
26,2023-06-08T16:10:59Z,67.0,66.97,66.94,-633.0,False,-1,66.94,66.94,67.0,67.0
27,2023-06-08T16:29:57Z,66.78,66.78,66.74,-200.0,False,0,,,66.78,
28,2023-06-08T16:47:13Z,66.56,66.53,66.51,-301.0,False,0,,,66.56,
29,2023-06-08T17:01:16Z,66.345,66.39,66.36,56.0,True,1,-66.39,-66.39,66.34,-66.34
30,2023-06-08T17:28:04Z,66.32,66.39,66.35,400.0,True,0,,,66.31,
31,2023-06-08T17:39:04Z,66.74,66.74,66.71,-102.0,False,-1,66.71,66.71,66.73,66.73
32,2023-06-08T17:50:53Z,66.3177,66.39,66.36,100.0,True,1,-66.39,-66.39,66.31,-66.31
33,2023-06-08T17:59:47Z,66.5362,66.51,66.48,-301.0,False,-1,66.48,66.48,66.53,66.53
34,2023-06-08T17:59:47Z,66.5362,66.51,66.48,-301.0,False,0,,,66.53,
35,2023-06-08T18:08:34Z,66.34,66.39,66.37,105.0,True,1,-66.39,-66.39,66.34,-66.34
36,2023-06-08T18:23:25Z,66.45,66.42,66.4,-164.0,False,-1,66.4,66.4,66.45,66.45
37,2023-06-08T18:54:05Z,66.485,66.54,66.51,302.0,True,1,-66.54,-66.54,66.48,-66.48
38,2023-06-08T18:54:05Z,66.485,66.54,66.51,616.0,True,0,,,66.48,
39,2023-06-08T19:13:34Z,66.74,66.71,66.67,-403.0,False,-1,66.67,66.67,66.73,66.73
40,2023-06-08T19:23:16Z,66.7333,66.75,66.73,462.0,True,0,,,66.73,
