Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
AAPL,177.645,177.66,400,177.64,600,14920552,2023-05-30T14:11:48Z
AAPL,177.63,177.64,600,177.62,200,14921968,
AAPL,,177.63,100,,100,14922517,2023-05-30T14:11:49Z
AAPL,,,200,,200,14923732,2023-05-30T14:11:50Z
AAPL,,,400,,,14923785,
AAPL,177.62,177.62,500,177.61,100,14924431,2023-05-30T14:11:52Z
AAPL,177.58,177.59,400,177.57,200,14926546,2023-05-30T14:11:53Z
AAPL,177.59,177.6,100,177.59,100,14927027,2023-05-30T14:11:54Z
AAPL,,177.58,200,177.57,,14927246,2023-05-30T14:11:55Z
AAPL,177.57,,400,177.56,200,14929243,2023-05-30T14:11:56Z
AAPL,,,300,,300,14930872,2023-05-30T14:11:57Z
AAPL,177.58,177.59,100,177.58,200,14931808,2023-05-30T14:11:58Z
AAPL,177.6,177.6,300,,400,14932723,2023-05-30T14:11:59Z
AAPL,177.59,,400,,200,14934434,2023-05-30T14:12:00Z
AAPL,177.58,177.58,300,177.56,400,14934814,2023-05-30T14:12:01Z
AAPL,177.57,,500,,300,14935761,2023-05-30T14:12:02Z
AAPL,177.55,177.56,300,177.55,100,14937536,2023-05-30T14:12:03Z
AAPL,177.565,,200,,,14940834,2023-05-30T14:12:04Z
AAPL,177.555,,300,,,14942734,2023-05-30T14:12:05Z
AAPL,177.545,177.55,100,177.53,600,14944181,2023-05-30T14:12:06Z
AAPL,177.55,177.56,300,177.54,100,14944628,2023-05-30T14:12:07Z
AAPL,,,200,,200,14945943,2023-05-30T14:12:08Z
AAPL,,,300,177.55,100,14946141,
AAPL,177.53,177.54,400,177.52,,14949361,2023-05-30T14:12:10Z
AAPL,,,600,177.51,900,14951773,2023-05-30T14:12:12Z
AAPL,177.54,177.55,200,177.53,400,14953949,2023-05-30T14:12:13Z
AAPL,,,100,177.54,100,14954291,2023-05-30T14:12:14Z
AAPL,,177.54,,177.53,200,14954499,2023-05-30T14:12:15Z
AAPL,177.5305,177.55,500,,,14956353,2023-05-30T14:12:16Z
AAPL,177.54,,,,,14957553,2023-05-30T14:12:17Z
