Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
GOOGL,123.9,124.01,100,123.76,100,35076658,2023-05-30T23:59:39Z
GOOGL,,,,,,0,
GOOGL,123.9,124.01,100,123.76,100,0,2023-05-30T23:59:39Z
GOOGL,,0,0,0,0,,
GOOGL,,123.71,100,123.43,200,55,
GOOGL,,,,,,57,
GOOGL,,123.76,300,123.42,100,,
GOOGL,,,,,300,,
GOOGL,,,,,,59,
GOOGL,,,,123.46,100,64,
GOOGL,,,,123.45,,,
GOOGL,,,,123.46,,,
GOOGL,,123.71,,123.48,,73,
GOOGL,,,100,,,,
GOOGL,,123.77,600,,,85,
GOOGL,,,,123.46,,,
GOOGL,,,,123.48,,87,
GOOGL,,,,,,88,
GOOGL,,,,,,90,
GOOGL,,,,123.49,,,
GOOGL,,,,,,92,
GOOGL,,123.75,300,123.34,,171,
GOOGL,,123.72,,,200,,
GOOGL,,,,123.35,100,,
GOOGL,,,,,,173,
GOOGL,,,,123.37,,177,
GOOGL,,,,,200,,
GOOGL,,123.71,100,,,179,
GOOGL,,123.74,300,123.38,100,,
GOOGL,,123.72,200,,,239,
GOOGL,,,,,,241,
GOOGL,,123.74,300,123.41,200,,
GOOGL,,,,123.45,,,
GOOGL,,,,,300,,
GOOGL,,123.71,100,,200,,
GOOGL,,,,123.48,,,
GOOGL,,123.75,,123.46,,275,
GOOGL,,,,,300,,
GOOGL,,,,123.48,200,,
GOOGL,,123.74,200,,,300,
GOOGL,,123.7,100,,,,
GOOGL,,123.69,,,,,
GOOGL,,,,123.47,,301,
GOOGL,,123.73,200,,,,
GOOGL,,123.75,300,,,,
GOOGL,,123.72,200,,,,
GOOGL,,,,123.52,,327,
GOOGL,,123.77,600,,300,,
GOOGL,,123.73,200,,,,
GOOGL,,123.72,100,,,,
GOOGL,,,,123.57,,,
GOOGL,,123.77,600,,100,329,
GOOGL,,,,123.56,200,,
GOOGL,,123.76,100,,,,
GOOGL,,,200,123.53,,,
GOOGL,,123.77,600,,,,
GOOGL,,,,,300,,
GOOGL,,,200,123.54,200,330,
GOOGL,,123.75,100,,300,,
GOOGL,,123.77,600,123.56,200,,
GOOGL,,,,123.54,,,
GOOGL,,,,123.53,,,
GOOGL,,123.74,100,,,,
GOOGL,,,,,300,,
GOOGL,,123.71,200,,,,
GOOGL,,123.67,100,123.46,,,
GOOGL,,123.66,,123.44,,342,
GOOGL,,,300,123.37,300,,
GOOGL,,123.7,200,123.43,200,,
GOOGL,,,300,,,,
GOOGL,,,,,300,,
GOOGL,,123.67,100,123.44,200,,
GOOGL,,123.72,300,123.37,300,344,
GOOGL,,,,123.42,100,,
GOOGL,,123.67,200,123.41,300,,
GOOGL,,,300,,100,,
GOOGL,,,,,300,,
GOOGL,,123.68,100,,,,
GOOGL,,,300,,,,
GOOGL,,123.66,200,,200,346,
GOOGL,,,,123.4,,,
GOOGL,,123.63,100,,,,
GOOGL,,123.62,,,,,
GOOGL,,123.65,,,300,,
GOOGL,,123.63,,,,,
GOOGL,,,,123.42,100,,
GOOGL,,,,123.37,200,,
GOOGL,,123.65,200,123.39,,,
GOOGL,,,,123.37,,,
GOOGL,,,,,,347,
