Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
MSFT,330.6464,330.66,100,330.61,100,7083092,2023-05-30T14:01:56Z
MSFT,330.65,330.68,200,330.64,,7085014,2023-05-30T14:01:57Z
MSFT,330.62,330.66,100,330.62,,7085602,2023-05-30T14:01:58Z
MSFT,,330.67,,,200,7085677,
MSFT,330.63,330.65,,,100,7086335,2023-05-30T14:02:00Z
MSFT,330.645,330.66,,330.63,,7087044,2023-05-30T14:02:01Z
MSFT,330.62,330.63,,330.6,,7091475,2023-05-30T14:02:02Z
MSFT,330.67,330.73,,330.68,200,7092999,2023-05-30T14:02:03Z
MSFT,330.66,330.68,,330.64,100,7095011,2023-05-30T14:02:04Z
MSFT,,330.69,,330.65,,7095017,
MSFT,330.65,330.68,,330.63,,7104952,2023-05-30T14:02:06Z
MSFT,330.74,330.75,200,330.72,200,7108335,2023-05-30T14:02:07Z
MSFT,330.76,330.76,,330.73,100,7109449,2023-05-30T14:02:08Z
MSFT,330.635,330.65,100,330.63,,7112394,2023-05-30T14:02:09Z
MSFT,330.6184,330.66,,330.61,,7113604,2023-05-30T14:02:10Z
MSFT,330.65,330.65,,330.63,,7114176,2023-05-30T14:02:11Z
MSFT,330.69,330.74,200,330.69,,7114667,2023-05-30T14:02:12Z
MSFT,330.74,330.79,,330.75,,7115524,2023-05-30T14:02:13Z
MSFT,330.805,330.86,100,330.81,,7116617,2023-05-30T14:02:14Z
MSFT,330.8207,330.87,,330.82,,7117044,2023-05-30T14:02:15Z
MSFT,330.83,330.86,,330.79,300,7117565,
MSFT,330.815,330.85,,330.8,100,7118019,2023-05-30T14:02:17Z
MSFT,330.88,330.9,,330.87,,7118556,2023-05-30T14:02:18Z
MSFT,330.885,330.95,,330.9,,7122467,2023-05-30T14:02:19Z
MSFT,330.908,330.94,,,200,7122979,
MSFT,330.9,330.9,200,330.85,,7123932,2023-05-30T14:02:21Z
MSFT,330.86,330.89,100,330.84,,7126093,2023-05-30T14:02:22Z
MSFT,330.84,330.83,,330.77,,7126634,2023-05-30T14:02:23Z
MSFT,,330.77,,330.74,,7126817,
MSFT,330.78,330.8,,,300,7128765,2023-05-30T14:02:25Z
MSFT,330.786,330.81,,330.75,200,7134021,2023-05-30T14:02:27Z
MSFT,330.76,330.8,,,100,7134255,2023-05-30T14:02:28Z
MSFT,330.8,330.83,,330.78,400,7134695,2023-05-30T14:02:29Z
MSFT,330.86,330.94,,330.88,100,7135616,2023-05-30T14:02:30Z
MSFT,332.01,332.04,100,332.02,300,7873953,2023-05-30T14:10:58Z
MSFT,332.02,332,,331.97,200,7875183,
MSFT,331.99,,,331.96,100,7875811,2023-05-30T14:11:00Z
MSFT,332.0099,331.99,,331.95,,7877820,
MSFT,331.93,331.95,,331.91,,7878748,2023-05-30T14:11:02Z
MSFT,,,,,200,7878936,
MSFT,,332,,331.96,100,7879181,2023-05-30T14:11:03Z
MSFT,331.985,331.99,,,,7879627,2023-05-30T14:11:04Z
MSFT,,332,,331.97,,7879820,
MSFT,331.97,331.98,200,331.94,,7880253,2023-05-30T14:11:07Z
MSFT,331.94,331.97,100,331.93,200,7880790,
MSFT,331.72,331.75,100,331.72,200,7971328,2023-05-30T14:12:23Z
MSFT,,331.76,,331.74,100,7971539,
MSFT,331.81,331.83,,331.8,200,7972492,2023-05-30T14:12:25Z
MSFT,331.83,331.86,,331.83,,7972846,2023-05-30T14:12:26Z
MSFT,331.81,331.83,,331.8,100,7975520,2023-05-30T14:12:27Z
MSFT,,331.9,,331.87,,7975578,
MSFT,,331.93,,331.89,200,7975623,
MSFT,,,,331.91,,7975980,
MSFT,331.87,331.87,,331.83,100,7976739,2023-05-30T14:12:31Z
MSFT,331.84,,,,,7976940,2023-05-30T14:12:32Z
MSFT,,,,,,7977010,
MSFT,331.8883,331.89,,331.85,300,7978038,2023-05-30T14:12:35Z
MSFT,331.87,331.87,,,100,7978199,
MSFT,,331.89,,,,7979758,2023-05-30T14:12:36Z
MSFT,,331.88,,331.86,,7979822,
MSFT,331.85,331.87,,331.84,,7980782,2023-05-30T14:12:39Z
MSFT,,331.89,,331.86,,7981076,
MSFT,,331.87,,331.84,,7981499,
MSFT,331.805,331.82,,331.79,,7982867,2023-05-30T14:12:41Z
MSFT,331.808,331.83,,331.8,,7983364,2023-05-30T14:12:42Z
MSFT,331.8,331.82,,331.78,,7983535,2023-05-30T14:12:43Z
MSFT,331.73,331.75,,331.72,,7985362,2023-05-30T14:12:45Z
MSFT,331.7101,331.76,,331.73,,7986900,
MSFT,331.74,,,,,7988165,2023-05-30T14:12:46Z
MSFT,331.77,331.82,,331.79,200,7989662,2023-05-30T14:12:47Z
MSFT,,,,,100,7989869,
MSFT,331.81,331.83,,331.8,,7990727,2023-05-30T14:12:49Z
MSFT,331.78,331.82,200,331.78,,7992758,2023-05-30T14:12:50Z
MSFT,331.805,,,,,7993291,2023-05-30T14:12:51Z
MSFT,331.8,331.81,100,,,7993691,2023-05-30T14:12:52Z
MSFT,331.7876,331.82,300,331.8,,7994562,2023-05-30T14:12:53Z
MSFT,331.83,331.85,200,331.81,,7995586,2023-05-30T14:12:54Z
MSFT,331.81,,,,,7995885,2023-05-30T14:12:55Z
MSFT,,,,,,7996008,
MSFT,331.83,331.84,100,,,7996142,2023-05-30T14:12:57Z
MSFT,331.7985,331.82,,331.79,,7996685,2023-05-30T14:12:58Z
MSFT,331.78,,,331.78,,7998082,2023-05-30T14:12:59Z
MSFT,331.85,331.85,,331.83,,7999991,2023-05-30T14:13:00Z
MSFT,331.76,331.77,,331.73,300,8003385,2023-05-30T14:13:01Z
MSFT,331.745,,,,100,8004043,2023-05-30T14:13:02Z
MSFT,331.79,331.83,200,331.79,,8004952,2023-05-30T14:13:03Z
MSFT,331.7901,,100,,,8005890,2023-05-30T14:13:04Z
MSFT,331.77,331.78,,331.74,200,8006091,2023-05-30T14:13:06Z
MSFT,331.73,,,,100,8006492,
MSFT,,331.76,,331.71,,8006542,
MSFT,,331.73,,331.7,300,8006878,2023-05-30T14:13:09Z
MSFT,331.72,331.74,,331.71,100,8007361,
MSFT,331.74,,,,,8008910,2023-05-30T14:13:10Z
MSFT,331.745,331.76,,331.73,,8009729,2023-05-30T14:13:11Z
MSFT,331.74,331.74,,331.71,200,8010217,2023-05-30T14:13:13Z
MSFT,,,,331.72,,8010230,
MSFT,331.69,331.7,,331.66,,8012537,2023-05-30T14:13:14Z
MSFT,331.71,331.76,,331.73,,8013643,2023-05-30T14:13:15Z
MSFT,331.75,,,331.71,100,8014140,2023-05-30T14:13:16Z
MSFT,331.72,331.74,200,331.7,,8016090,2023-05-30T14:13:17Z
MSFT,331.661,331.7,100,331.66,,8016642,2023-05-30T14:13:18Z
MSFT,,331.71,,331.68,,8016962,
MSFT,331.685,331.68,,331.66,200,8017778,2023-05-30T14:13:20Z
MSFT,331.74,331.76,,331.71,100,8019227,2023-05-30T14:13:22Z
MSFT,331.765,331.82,200,331.78,200,8020783,
MSFT,331.8,,100,331.79,100,8021258,2023-05-30T14:13:23Z
MSFT,,,,331.78,,8021556,
MSFT,331.8027,331.81,,,,8021922,2023-05-30T14:13:26Z
MSFT,331.83,331.85,200,331.83,,8022661,
MSFT,331.85,331.87,,,,8023101,2023-05-30T14:13:27Z
MSFT,331.81,331.83,100,331.8,,8025566,2023-05-30T14:13:29Z
MSFT,331.8105,331.85,,331.81,,8026086,2023-05-30T14:13:30Z
MSFT,331.85,,,331.82,200,8026353,2023-05-30T14:13:31Z
MSFT,331.84,,,331.83,100,8028755,2023-05-30T14:13:32Z
MSFT,331.81,331.84,,331.81,,8029086,2023-05-30T14:13:33Z
MSFT,331.85,331.85,,331.83,200,8029818,2023-05-30T14:13:34Z
MSFT,,,,331.82,,8029844,
MSFT,331.82,,200,,100,8030200,2023-05-30T14:13:36Z
MSFT,331.85,,,331.83,,8032194,2023-05-30T14:13:37Z
MSFT,331.795,331.81,,331.78,300,8075485,2023-05-30T14:13:38Z
MSFT,331.86,331.86,100,331.84,100,8076757,2023-05-30T14:13:39Z
MSFT,331.85,331.85,,331.82,,8076971,2023-05-30T14:13:41Z
MSFT,,,,331.81,200,8077630,
MSFT,331.8169,331.84,,331.8,100,8077867,2023-05-30T14:13:42Z
MSFT,331.825,,,331.81,,8078292,2023-05-30T14:13:43Z
MSFT,331.83,331.82,,331.79,500,8078782,2023-05-30T14:13:45Z
MSFT,331.76,331.79,200,331.76,200,8079799,
MSFT,331.78,,100,,300,8080776,2023-05-30T14:13:47Z
MSFT,331.76,,,331.77,100,8081010,
MSFT,331.81,331.84,200,331.82,,8081799,2023-05-30T14:13:48Z
MSFT,331.82,331.81,,331.79,,8082312,2023-05-30T14:13:49Z
MSFT,331.76,331.79,,331.76,,8084088,2023-05-30T14:13:50Z
MSFT,,331.78,,331.73,,8085052,2023-05-30T14:13:51Z
MSFT,331.745,331.75,100,331.72,,8085403,2023-05-30T14:13:52Z
MSFT,,331.77,200,331.74,200,8085534,
MSFT,331.765,331.78,,331.75,100,8087464,2023-05-30T14:13:55Z
MSFT,331.735,331.75,,331.72,,8087713,
MSFT,331.75,331.76,100,331.73,,8088284,2023-05-30T14:13:56Z
MSFT,,,,,300,8088309,
MSFT,,331.77,200,331.74,200,8095038,2023-05-30T14:13:58Z
MSFT,331.72,331.74,100,331.72,100,8097357,2023-05-30T14:14:00Z
MSFT,331.715,331.73,,331.7,200,8098155,
MSFT,331.67,331.66,,331.64,100,8099613,2023-05-30T14:14:01Z
MSFT,331.63,331.61,,331.6,,8104476,2023-05-30T14:14:02Z
MSFT,331.55,331.53,,331.52,,8105983,2023-05-30T14:14:03Z
MSFT,,331.55,,331.51,,8106056,
MSFT,331.54,331.58,200,331.55,,8110474,2023-05-30T14:14:05Z
MSFT,331.555,,,,,8111070,2023-05-30T14:14:06Z
MSFT,331.58,331.63,,331.59,,8112487,2023-05-30T14:14:07Z
MSFT,331.64,331.66,100,331.62,,8113018,2023-05-30T14:14:08Z
MSFT,,,,,200,8113553,2023-05-30T14:14:09Z
MSFT,331.58,331.6,,331.57,900,8114542,2023-05-30T14:14:10Z
MSFT,,,,331.58,100,8114687,
MSFT,331.56,,,331.55,,8114966,2023-05-30T14:14:12Z
MSFT,,331.61,400,331.58,,8115105,
MSFT,331.61,331.62,100,331.59,,8116545,2023-05-30T14:14:14Z
MSFT,331.54,331.58,,331.54,,8117479,2023-05-30T14:14:15Z
MSFT,,331.57,,331.53,1000,8122640,2023-05-30T14:14:16Z
MSFT,,331.59,,331.56,100,8122686,
MSFT,331.56,,200,331.55,200,8123012,2023-05-30T14:14:18Z
MSFT,,,400,,,8123069,
MSFT,331.57,,300,,,8123746,2023-05-30T14:14:21Z
MSFT,,,,331.56,100,8123934,2023-05-30T14:14:22Z
MSFT,,,,331.55,200,8124132,
MSFT,331.535,331.53,100,331.49,100,8134128,2023-05-30T14:14:24Z
MSFT,331.56,331.58,,331.55,,8142083,
MSFT,331.6,331.61,200,331.58,,8142959,2023-05-30T14:14:25Z
MSFT,331.62,331.63,300,331.61,,8143713,2023-05-30T14:14:27Z
MSFT,331.63,331.68,100,331.65,,8144899,
MSFT,331.64,331.63,,331.6,,8145187,2023-05-30T14:14:28Z
MSFT,331.58,,200,331.59,,8145550,2023-05-30T14:14:29Z
MSFT,,,,,,8145638,
