Symbol,Open,High,Low,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
MSFT,332.29001,335.94,330.85001,332.285,332.26,100,332.23,200,9126159,2023-05-31T14:56:06Z
MSFT,332.29001,335.94,330.85001,332.225,332.28,200,332.24,200,9135146,2023-05-31T14:56:16Z
MSFT,332.29001,335.94,330.85001,332.36,332.39,200,332.36,100,9145274,2023-05-31T14:56:25Z
MSFT,332.29001,335.94,330.85001,332.4,332.41,200,332.39,100,9154382,2023-05-31T14:56:36Z
MSFT,332.29001,335.94,330.85001,332.42,332.44,100,332.42,100,9170703,2023-05-31T14:56:46Z
MSFT,332.29001,335.94,330.85001,332.48,332.49,200,332.48,100,9179747,2023-05-31T14:56:56Z
MSFT,332.29001,335.94,330.85001,332.47,332.49,200,332.44,200,9200646,2023-05-31T14:57:06Z
MSFT,332.29001,335.94,330.85001,332.39,332.4,200,332.37,100,9220528,2023-05-31T14:57:16Z
MSFT,332.29001,335.94,330.85001,332.21,332.22,100,332.18,200,9231757,2023-05-31T14:57:26Z
MSFT,332.29001,335.94,330.85001,332.15,332.18,100,332.15,300,9250548,2023-05-31T14:57:36Z
MSFT,332.29001,335.94,330.85001,331.9999,332,200,331.97,200,9260387,2023-05-31T14:57:46Z
MSFT,332.29001,335.94,330.85001,332.085,332.1,100,332.07,100,9292541,2023-05-31T14:57:56Z
MSFT,332.29001,335.94,330.85001,331.92,331.91,200,331.84,100,9301741,2023-05-31T14:58:05Z
MSFT,332.29001,335.94,330.85001,331.855,331.88,100,331.82,100,9346359,2023-05-31T14:58:16Z
MSFT,332.29001,335.94,330.85001,331.63,331.63,200,331.61,100,9364573,2023-05-31T14:58:26Z
MSFT,332.29001,335.94,330.85001,331.58,331.6,100,331.56,200,9374822,2023-05-31T14:58:36Z
MSFT,332.29001,335.94,330.85001,331.65,331.67,200,331.63,100,9384521,2023-05-31T14:58:46Z
MSFT,332.29001,335.94,330.85001,331.6201,331.62,100,331.6,300,9391153,2023-05-31T14:58:55Z
MSFT,332.29001,335.94,330.85001,331.6769,331.68,100,331.65,200,9399245,2023-05-31T14:59:05Z
MSFT,332.29001,335.94,330.85001,331.71,331.71,100,331.67,100,9409102,2023-05-31T14:59:15Z
MSFT,332.29001,335.94,330.85001,331.6526,331.66,100,331.64,200,9416981,2023-05-31T14:59:26Z
MSFT,332.29001,335.94,330.85001,331.57,331.59,100,331.55,200,9426306,2023-05-31T14:59:35Z
MSFT,332.29001,335.94,330.85001,331.65,331.66,100,331.64,100,9436076,2023-05-31T14:59:46Z
MSFT,332.29001,335.94,330.85001,331.611,331.63,100,331.59,100,9440334,2023-05-31T14:59:56Z
MSFT,332.29001,335.94,330.85001,331.615,331.63,100,331.6,1000,9446789,2023-05-31T15:00:05Z
MSFT,332.29001,335.94,330.85001,331.6201,331.66,200,331.62,100,9450592,2023-05-31T15:00:16Z
MSFT,332.29001,335.94,330.85001,331.59,331.61,100,331.57,200,9460067,2023-05-31T15:00:26Z
MSFT,332.29001,335.94,330.85001,331.655,331.59,100,331.56,100,9473764,2023-05-31T15:00:34Z
MSFT,332.29001,335.94,330.85001,331.32,331.32,100,331.3,200,9495453,2023-05-31T15:00:46Z
MSFT,332.29001,335.94,330.85001,331.32,331.35,100,331.31,100,9510163,2023-05-31T15:00:54Z
MSFT,332.29001,335.94,330.85001,331.25,331.25,100,331.21,300,9515731,2023-05-31T15:01:06Z
MSFT,332.29001,335.94,330.85001,331.19,331.2,100,331.16,100,9533797,2023-05-31T15:01:16Z
MSFT,332.29001,335.94,330.85001,331.175,331.19,100,331.14,100,9541127,2023-05-31T15:01:25Z
MSFT,332.29001,335.94,330.85001,331.19,331.23,200,331.19,200,9557719,2023-05-31T15:01:36Z
MSFT,332.29001,335.94,330.85001,331.3,331.3,100,331.27,100,9560594,2023-05-31T15:01:46Z
MSFT,332.29001,335.94,330.85001,331.3399,331.35,100,331.31,100,9569038,2023-05-31T15:01:57Z
MSFT,332.29001,335.94,330.85001,331.4147,331.43,100,331.4,100,9574045,2023-05-31T15:02:04Z
MSFT,332.29001,335.94,330.85001,331.35,331.39,100,331.35,100,9581992,2023-05-31T15:02:16Z
MSFT,332.29001,335.94,330.85001,331.275,331.29,100,331.26,100,9586713,2023-05-31T15:02:26Z
MSFT,332.29001,335.94,330.85001,331.19,331.2,100,331.16,100,9593864,2023-05-31T15:02:36Z
MSFT,332.29001,335.94,330.85001,331.23,331.22,100,331.16,100,9597545,2023-05-31T15:02:42Z
MSFT,332.29001,335.94,330.85001,331.095,331.11,100,331.07,400,9603086,2023-05-31T15:02:56Z
MSFT,332.29001,335.94,330.85001,330.91,330.93,100,330.91,100,9619438,2023-05-31T15:03:06Z
