High,Low,Open,Close,TimeStamp,TotalVolume,DownTicks,DownVolume,OpenInterest,IsRealtime,IsEndOfHistory,TotalTicks,UnchangedTicks,UnchangedVolume,UpTicks,UpVolume,Epoch,BarStatus
12.45,12.35,12.44,12.38,2016-12-06T14:31:00Z,383955,80,204435,0,False,False,139,0,0,59,179520,1481034660000,Closed
12.4,12.37,12.37,12.38,2016-12-06T14:32:00Z,207345,30,130380,0,False,False,69,0,0,39,76965,1481034720000,Closed
12.42,12.38,12.38,12.39,2016-12-06T14:33:00Z,255075,30,156075,0,False,False,64,0,0,34,99000,1481034780000,Closed
12.39,12.32,12.38,12.35,2016-12-06T14:34:00Z,641115,133,455865,0,False,False,190,0,0,57,185250,1481034840000,Closed
12.38,12.33,12.34,12.38,2016-12-06T14:35:00Z,178695,35,92295,0,False,False,67,0,0,32,86400,1481034900000,Closed
12.41,12.36,12.38,12.37,2016-12-06T14:36:00Z,309720,41,89595,0,False,False,71,0,0,30,220125,1481034960000,Closed
12.37,12.35,12.36,12.36,2016-12-06T14:37:00Z,108750,11,85500,0,False,False,19,0,0,8,23250,1481035020000,Closed
12.36,12.29,12.36,12.29,2016-12-06T14:38:00Z,464445,95,311835,0,False,False,137,0,0,42,152610,1481035080000,Closed
12.31,12.27,12.29,12.31,2016-12-06T14:39:00Z,258105,65,160500,0,False,False,120,0,0,55,97605,1481035140000,Closed
12.32,12.27,12.29,12.32,2016-12-06T14:40:00Z,237330,37,98910,0,False,False,73,0,0,36,138420,1481035200000,Closed
12.36,12.31,12.31,12.33,2016-12-06T14:41:00Z,285270,35,160635,0,False,False,75,0,0,40,124635,1481035260000,Closed
12.33,12.28,12.33,12.28,2016-12-06T14:42:00Z,236370,62,152895,0,False,False,90,0,0,28,83475,1481035320000,Closed
12.3,12.25,12.29,12.26,2016-12-06T14:43:00Z,326475,75,226455,0,False,False,124,0,0,49,100020,1481035380000,Closed
12.27,12.24,12.27,12.24,2016-12-06T14:44:00Z,260235,34,108735,0,False,False,51,0,0,17,151500,1481035440000,Closed
12.26,12.23,12.25,12.24,2016-12-06T14:45:00Z,294825,57,133275,0,False,False,121,0,0,64,161550,1481035500000,Closed
12.26,12.24,12.24,12.25,2016-12-06T14:46:00Z,474540,63,246000,0,False,False,131,0,0,68,228540,1481035560000,Closed
12.26,12.23,12.25,12.24,2016-12-06T14:47:00Z,458460,103,312390,0,False,False,162,0,0,59,146070,1481035620000,Closed
12.29,12.23,12.24,12.28,2016-12-06T14:48:00Z,227910,44,107355,0,False,False,89,0,0,45,120555,1481035680000,Closed
12.31,12.27,12.28,12.31,2016-12-06T14:49:00Z,206325,33,76500,0,False,False,82,0,0,49,129825,1481035740000,Closed
12.32,12.3,12.31,12.31,2016-12-06T14:50:00Z,240195,24,89025,0,False,False,53,0,0,29,151170,1481035800000,Closed
12.36,12.31,12.31,12.35,2016-12-06T14:51:00Z,304605,43,113775,0,False,False,96,0,0,53,190830,1481035860000,Closed
12.36,12.33,12.36,12.34,2016-12-06T14:52:00Z,152160,30,86460,0,False,False,47,0,0,17,65700,1481035920000,Closed
12.34,12.32,12.34,12.32,2016-12-06T14:53:00Z,103065,34,80565,0,False,False,38,0,0,4,22500,1481035980000,Closed
12.38,12.31,12.32,12.37,2016-12-06T14:54:00Z,268170,29,106350,0,False,False,95,0,0,66,161820,1481036040000,Closed
12.39,12.36,12.37,12.37,2016-12-06T14:55:00Z,224565,25,88830,0,False,False,61,0,0,36,135735,1481036100000,Closed
12.37,12.35,12.37,12.35,2016-12-06T14:56:00Z,80220,20,48720,0,False,False,32,0,0,12,31500,1481036160000,Closed
12.35,12.31,12.34,12.33,2016-12-06T14:57:00Z,128985,24,56985,0,False,False,59,0,0,35,72000,1481036220000,Closed
12.33,12.31,12.33,12.32,2016-12-06T14:58:00Z,69000,21,42000,0,False,False,33,0,0,12,27000,1481036280000,Closed
12.33,12.29,12.31,12.29,2016-12-06T14:59:00Z,165060,45,119160,0,False,False,70,0,0,25,45900,1481036340000,Closed
12.32,12.28,12.3,12.3,2016-12-06T15:00:00Z,90000,19,37500,0,False,False,40,0,0,21,52500,1481036400000,Closed
12.32,12.29,12.3,12.3,2016-12-06T15:01:00Z,164790,28,89790,0,False,False,66,0,0,38,75000,1481036460000,Closed
12.33,12.29,12.3,12.3,2016-12-06T15:02:00Z,444765,88,163605,0,False,False,215,0,0,127,281160,1481036520000,Closed
12.32,12.3,12.32,12.31,2016-12-06T15:03:00Z,33750,4,23250,0,False,False,7,0,0,3,10500,1481036580000,Closed
12.32,12.31,12.31,12.31,2016-12-06T15:04:00Z,138135,15,86610,0,False,False,33,0,0,18,51525,1481036640000,Closed
12.32,12.31,12.32,12.32,2016-12-06T15:05:00Z,97125,4,29625,0,False,False,16,0,0,12,67500,1481036700000,Closed
12.33,12.32,12.32,12.33,2016-12-06T15:06:00Z,54000,9,28500,0,False,False,25,0,0,16,25500,1481036760000,Closed
12.33,12.32,12.33,12.33,2016-12-06T15:07:00Z,47250,4,31500,0,False,False,10,0,0,6,15750,1481036820000,Closed
12.35,12.32,12.34,12.33,2016-12-06T15:08:00Z,287235,45,157830,0,False,False,84,0,0,39,129405,1481036880000,Closed
12.33,12.32,12.33,12.33,2016-12-06T15:09:00Z,27750,4,15750,0,False,False,12,0,0,8,12000,1481036940000,Closed
12.33,12.32,12.33,12.33,2016-12-06T15:10:00Z,86655,17,26475,0,False,False,34,0,0,17,60180,1481037000000,Closed
12.33,12.29,12.33,12.29,2016-12-06T15:11:00Z,295410,40,199260,0,False,False,56,0,0,16,96150,1481037060000,Closed
12.31,12.28,12.29,12.28,2016-12-06T15:12:00Z,84375,10,37875,0,False,False,20,0,0,10,46500,1481037120000,Closed
12.31,12.28,12.28,12.28,2016-12-06T15:13:00Z,97785,25,48285,0,False,False,51,0,0,26,49500,1481037180000,Closed
12.3,12.28,12.29,12.28,2016-12-06T15:14:00Z,62250,23,39000,0,False,False,29,0,0,6,23250,1481037240000,Closed
12.28,12.27,12.28,12.27,2016-12-06T15:15:00Z,67395,12,33885,0,False,False,33,0,0,21,33510,1481037300000,Closed
12.28,12.26,12.27,12.27,2016-12-06T15:16:00Z,108180,35,79680,0,False,False,46,0,0,11,28500,1481037360000,Closed
12.3,12.27,12.27,12.28,2016-12-06T15:17:00Z,109050,29,46050,0,False,False,70,0,0,41,63000,1481037420000,Closed
12.28,12.27,12.28,12.28,2016-12-06T15:18:00Z,18675,6,11175,0,False,False,10,0,0,4,7500,1481037480000,Closed
12.27,12.26,12.27,12.26,2016-12-06T15:19:00Z,209475,38,177825,0,False,False,52,0,0,14,31650,1481037540000,Closed
12.28,12.27,12.27,12.27,2016-12-06T15:20:00Z,71175,21,34875,0,False,False,43,0,0,22,36300,1481037600000,Closed
12.28,12.27,12.27,12.28,2016-12-06T15:21:00Z,58485,11,24735,0,False,False,21,0,0,10,33750,1481037660000,Closed
12.27,12.26,12.27,12.27,2016-12-06T15:22:00Z,52500,15,30000,0,False,False,23,0,0,8,22500,1481037720000,Closed
12.27,12.24,12.26,12.25,2016-12-06T15:23:00Z,154005,36,115110,0,False,False,54,0,0,18,38895,1481037780000,Closed
12.25,12.24,12.25,12.24,2016-12-06T15:24:00Z,99300,32,73035,0,False,False,41,0,0,9,26265,1481037840000,Closed
12.25,12.21,12.24,12.21,2016-12-06T15:25:00Z,424965,85,339405,0,False,False,125,0,0,40,85560,1481037900000,Closed
12.23,12.2,12.21,12.21,2016-12-06T15:26:00Z,392670,69,234060,0,False,False,150,0,0,81,158610,1481037960000,Closed
12.23,12.21,12.21,12.23,2016-12-06T15:27:00Z,248415,43,93570,0,False,False,106,0,0,63,154845,1481038020000,Closed
12.23,12.21,12.23,12.22,2016-12-06T15:28:00Z,135105,30,84930,0,False,False,50,0,0,20,50175,1481038080000,Closed
12.23,12.21,12.22,12.22,2016-12-06T15:29:00Z,140925,24,102945,0,False,False,43,0,0,19,37980,1481038140000,Closed
12.23,12.22,12.22,12.22,2016-12-06T15:30:00Z,114105,22,67605,0,False,False,43,0,0,21,46500,1481038200000,Closed
12.24,12.22,12.23,12.23,2016-12-06T15:31:00Z,229920,23,99270,0,False,False,60,0,0,37,130650,1481038260000,Closed
12.23,12.22,12.22,12.23,2016-12-06T15:32:00Z,118635,19,63000,0,False,False,50,0,0,31,55635,1481038320000,Closed
12.28,12.23,12.23,12.27,2016-12-06T15:33:00Z,335445,47,160665,0,False,False,113,0,0,66,174780,1481038380000,Closed
12.3,12.27,12.27,12.29,2016-12-06T15:34:00Z,335160,44,212730,0,False,False,86,0,0,42,122430,1481038440000,Closed
12.29,12.28,12.29,12.29,2016-12-06T15:35:00Z,76800,11,31500,0,False,False,24,0,0,13,45300,1481038500000,Closed
12.3,12.29,12.29,12.3,2016-12-06T15:36:00Z,57180,4,24750,0,False,False,18,0,0,14,32430,1481038560000,Closed
12.31,12.29,12.29,12.3,2016-12-06T15:37:00Z,205725,17,137085,0,False,False,37,0,0,20,68640,1481038620000,Closed
12.3,12.29,12.3,12.29,2016-12-06T15:38:00Z,119700,26,77235,0,False,False,47,0,0,21,42465,1481038680000,Closed
12.3,12.29,12.3,12.29,2016-12-06T15:39:00Z,79260,18,49260,0,False,False,28,0,0,10,30000,1481038740000,Closed
12.3,12.29,12.29,12.29,2016-12-06T15:40:00Z,68445,9,15540,0,False,False,22,0,0,13,52905,1481038800000,Closed
12.29,12.27,12.29,12.27,2016-12-06T15:41:00Z,100500,25,62250,0,False,False,39,0,0,14,38250,1481038860000,Closed
12.29,12.27,12.27,12.29,2016-12-06T15:42:00Z,111090,9,36165,0,False,False,42,0,0,33,74925,1481038920000,Closed
12.3,12.29,12.29,12.29,2016-12-06T15:43:00Z,66000,16,24000,0,False,False,29,0,0,13,42000,1481038980000,Closed
12.31,12.29,12.3,12.31,2016-12-06T15:44:00Z,80730,8,19500,0,False,False,24,0,0,16,61230,1481039040000,Closed
12.31,12.3,12.31,12.3,2016-12-06T15:45:00Z,65730,17,56730,0,False,False,22,0,0,5,9000,1481039100000,Closed
12.33,12.31,12.31,12.33,2016-12-06T15:46:00Z,140310,15,54000,0,False,False,51,0,0,36,86310,1481039160000,Closed
12.33,12.32,12.33,12.33,2016-12-06T15:47:00Z,126135,30,51885,0,False,False,55,0,0,25,74250,1481039220000,Closed
12.33,12.32,12.33,12.33,2016-12-06T15:48:00Z,42795,14,29250,0,False,False,22,0,0,8,13545,1481039280000,Closed
12.33,12.32,12.33,12.33,2016-12-06T15:49:00Z,71505,18,31125,0,False,False,33,0,0,15,40380,1481039340000,Closed
12.35,12.32,12.33,12.33,2016-12-06T15:50:00Z,265755,36,91005,0,False,False,90,0,0,54,174750,1481039400000,Closed
12.34,12.33,12.33,12.34,2016-12-06T15:51:00Z,65805,12,38805,0,False,False,29,0,0,17,27000,1481039460000,Closed
12.35,12.31,12.34,12.31,2016-12-06T15:52:00Z,261780,34,126780,0,False,False,57,0,0,23,135000,1481039520000,Closed
12.33,12.32,12.32,12.33,2016-12-06T15:53:00Z,41400,4,8400,0,False,False,11,0,0,7,33000,1481039580000,Closed
12.34,12.33,12.33,12.33,2016-12-06T15:54:00Z,49800,19,30000,0,False,False,30,0,0,11,19800,1481039640000,Closed
12.34,12.33,12.33,12.34,2016-12-06T15:55:00Z,15000,2,3000,0,False,False,9,0,0,7,12000,1481039700000,Closed
12.34,12.32,12.33,12.33,2016-12-06T15:56:00Z,180495,40,82995,0,False,False,86,0,0,46,97500,1481039760000,Closed
12.35,12.33,12.33,12.33,2016-12-06T15:57:00Z,192750,44,86250,0,False,False,76,0,0,32,106500,1481039820000,Closed
12.33,12.32,12.32,12.32,2016-12-06T15:58:00Z,37425,6,17175,0,False,False,15,0,0,9,20250,1481039880000,Closed
12.33,12.32,12.32,12.32,2016-12-06T15:59:00Z,12000,4,7500,0,False,False,7,0,0,3,4500,1481039940000,Closed
12.33,12.32,12.32,12.32,2016-12-06T16:00:00Z,52500,12,33000,0,False,False,16,0,0,4,19500,1481040000000,Closed
12.32,12.31,12.31,12.31,2016-12-06T16:01:00Z,61620,5,43620,0,False,False,7,0,0,2,18000,1481040060000,Closed
