,_id_x,CurTime,GetTime_x,Symbol,TradeTime,Last,Ask,AskSize,Bid,BidSize,Volume,VWAP,Open,High,Low,PreviousClose,PreviousVolume,NetChange,NetChangePct,_id_y,GetTime_y,EarliestTime,LatestTime,Side,Price,TotalSize,BiggestSize,SmallestSize,NumParticipants,TotalOrderCount,Dif
31,64808662323df6bf8bf61947,2023-06-07T13:30:10Z,2023-06-07T13:30:09Z,TSLA,2023-06-07T13:30:09Z,228.47,228.49,600.0,228.44,100.0,5844930.0,228.17898583379,228.0,228.49001,227.92,221.31,146911576.0,7.16,0.0324,64808662323df6bf8bf619d0,2023-06-07T13:30:09Z,2023-06-07T13:30:09Z,2023-06-07T13:30:09Z,Ask,228.43,-1100.0,400.0,100.0,5.0,5.0,0.03999999999999204
32,64808662323df6bf8bf61947,2023-06-07T13:30:10Z,2023-06-07T13:30:09Z,TSLA,2023-06-07T13:30:09Z,228.47,228.49,600.0,228.44,100.0,5844930.0,228.17898583379,228.0,228.49001,227.92,221.31,146911576.0,7.16,0.0324,64808662323df6bf8bf619d9,2023-06-07T13:30:10Z,2023-06-07T13:30:00Z,2023-06-07T13:30:00Z,Ask,228.45,-587.0,587.0,587.0,1.0,3.0,0.020000000000010232
40,6480866c323df6bf8bf61a27,2023-06-07T13:30:20Z,2023-06-07T13:30:19Z,TSLA,2023-06-07T13:30:19Z,227.68,227.69,200.0,227.6,100.0,6210211.0,228.059673618799,228.0,228.49001,227.57001,221.31,146911576.0,6.37,0.0288,6480866c323df6bf8bf61a21,2023-06-07T13:30:19Z,2023-06-07T13:30:11Z,2023-06-07T13:30:11Z,Bid,228.12,54.0,54.0,54.0,1.0,2.0,0.4399999999999977
54,6480866c323df6bf8bf61a27,2023-06-07T13:30:20Z,2023-06-07T13:30:19Z,TSLA,2023-06-07T13:30:19Z,227.68,227.69,200.0,227.6,100.0,6210211.0,228.059673618799,228.0,228.49001,227.57001,221.31,146911576.0,6.37,0.0288,6480866c323df6bf8bf61ab7,2023-06-07T13:30:19Z,2023-06-07T13:30:19Z,2023-06-07T13:30:19Z,Ask,227.67,-200.0,200.0,200.0,1.0,1.0,0.010000000000019327
65,64808676323df6bf8bf61b09,2023-06-07T13:30:30Z,2023-06-07T13:30:29Z,TSLA,2023-06-07T13:30:29Z,227.441,227.49,400.0,227.44,200.0,6421643.0,227.962675253192,228.0,228.49001,227.42999,221.31,146911576.0,6.131,0.0277,64808676323df6bf8bf61b03,2023-06-07T13:30:29Z,2023-06-07T13:30:23Z,2023-06-07T13:30:23Z,Bid,227.62,73.0,73.0,73.0,1.0,2.0,0.17900000000000205
79,64808676323df6bf8bf61b09,2023-06-07T13:30:30Z,2023-06-07T13:30:29Z,TSLA,2023-06-07T13:30:29Z,227.441,227.49,400.0,227.44,200.0,6421643.0,227.962675253192,228.0,228.49001,227.42999,221.31,146911576.0,6.131,0.0277,64808676323df6bf8bf61b93,2023-06-07T13:30:29Z,2023-06-07T13:30:29Z,2023-06-07T13:30:29Z,Ask,227.4,-100.0,100.0,100.0,1.0,1.0,0.04099999999999682
91,64808680323df6bf8bf61be8,2023-06-07T13:30:40Z,2023-06-07T13:30:38Z,TSLA,2023-06-07T13:30:38Z,227.32,227.4,600.0,227.32,200.0,6631513.0,227.8219273201,228.0,228.49001,227.08,221.31,146911576.0,6.01,0.0272,64808680323df6bf8bf61be2,2023-06-07T13:30:39Z,2023-06-07T13:30:39Z,2023-06-07T13:30:39Z,Bid,227.62,400.0,300.0,100.0,2.0,2.0,0.30000000000001137
92,64808680323df6bf8bf61be8,2023-06-07T13:30:40Z,2023-06-07T13:30:38Z,TSLA,2023-06-07T13:30:38Z,227.32,227.4,600.0,227.32,200.0,6631513.0,227.8219273201,228.0,228.49001,227.08,221.31,146911576.0,6.01,0.0272,64808680323df6bf8bf61bec,2023-06-07T13:30:39Z,2023-06-07T13:30:39Z,2023-06-07T13:30:39Z,Bid,227.58,100.0,100.0,100.0,1.0,1.0,0.2600000000000193
93,64808680323df6bf8bf61be8,2023-06-07T13:30:40Z,2023-06-07T13:30:38Z,TSLA,2023-06-07T13:30:38Z,227.32,227.4,600.0,227.32,200.0,6631513.0,227.8219273201,228.0,228.49001,227.08,221.31,146911576.0,6.01,0.0272,64808680323df6bf8bf61bfb,2023-06-07T13:30:39Z,2023-06-07T13:30:39Z,2023-06-07T13:30:39Z,Bid,227.56,700.0,400.0,300.0,2.0,2.0,0.2400000000000091
94,64808680323df6bf8bf61be8,2023-06-07T13:30:40Z,2023-06-07T13:30:38Z,TSLA,2023-06-07T13:30:38Z,227.32,227.4,600.0,227.32,200.0,6631513.0,227.8219273201,228.0,228.49001,227.08,221.31,146911576.0,6.01,0.0272,64808680323df6bf8bf61c06,2023-06-07T13:30:39Z,2023-06-07T13:30:39Z,2023-06-07T13:30:39Z,Bid,227.55,200.0,200.0,200.0,1.0,1.0,0.2300000000000182
