Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
TSLA,201.59,201.6,100,201.59,100,128818746,2023-05-30T23:59:55Z
TSLA,201.59,201.6,100,201.59,100,128818746,2023-05-30T23:59:55Z
TSLA,201.59,201.6,100,201.59,100,128818746,2023-05-30T23:59:55Z
TSLA,,,,,,0,
TSLA,,0,0,0,0,,
TSLA,199.5,200.5,100,199.3,300,2335,2023-05-31T08:00:00Z
TSLA,199.3,,,199.03,100,2920,
TSLA,,199.58,,199.32,,2942,
TSLA,,,,199.35,,2952,
TSLA,,200.48,800,199.44,,3121,
TSLA,,199.74,100,199.46,,3179,
TSLA,199.69,199.72,,199.49,,3418,2023-05-31T08:00:06Z
TSLA,,200.48,800,199.39,,3440,
TSLA,199.8,199.77,100,199.31,,3716,2023-05-31T08:00:07Z
TSLA,,199.86,,199.36,,3741,
TSLA,,199.69,200,,,3754,
TSLA,,,100,199.31,,3934,
TSLA,,,,199.35,,3936,
TSLA,199.69,199.8,300,,,4041,2023-05-31T08:00:13Z
TSLA,,199.75,100,199.38,,4056,
TSLA,199.75,199.8,300,199.52,,4246,2023-05-31T08:00:15Z
TSLA,199.54,,,199.43,,4486,2023-05-31T08:00:16Z
TSLA,,,,199.46,,,
TSLA,,199.69,,199.44,,4551,
TSLA,,,,199.42,,,
TSLA,,,,,,4553,
TSLA,,,,199.47,,4558,
TSLA,,,,199.49,,,
TSLA,199.69,199.79,100,199.56,,5163,2023-05-31T08:00:23Z
TSLA,,,,199.57,,,
TSLA,199.79,199.8,200,199.59,,5336,2023-05-31T08:00:26Z
TSLA,,,,199.58,,,
TSLA,,,,199.59,,5341,
TSLA,199.8,199.89,100,199.63,,5541,2023-05-31T08:00:29Z
TSLA,,199.92,,199.65,,5808,
TSLA,199.78,199.95,,199.71,,5958,2023-05-31T08:00:30Z
TSLA,,199.98,,199.73,,5984,
TSLA,,,,199.75,,6114,
TSLA,,,,199.78,,,
TSLA,,199.99,,199.79,,6314,
TSLA,,,,199.8,,6320,
TSLA,199.99,200.13,200,199.98,200,6754,2023-05-31T08:00:37Z
TSLA,200.12,200.14,500,,300,6854,
TSLA,,,600,,,6919,
TSLA,199.98,200.11,100,199.78,100,7432,2023-05-31T08:00:41Z
TSLA,,,,,,7452,
TSLA,200.11,200.13,200,200.11,500,7602,2023-05-31T08:00:43Z
TSLA,200.25,200.38,,,,8966,2023-05-31T08:00:45Z
TSLA,,200.37,100,,,,
TSLA,200.11,200.34,,,400,9176,2023-05-31T08:00:46Z
TSLA,,200.33,,200.12,100,,
TSLA,200.12,200.3,,200.11,300,9526,2023-05-31T08:00:49Z
TSLA,200.23,,,,,9703,2023-05-31T08:00:50Z
TSLA,200.14,200.22,,,,9925,2023-05-31T08:00:52Z
TSLA,,,,,,10025,
TSLA,200.2,200.2,,,,10125,2023-05-31T08:00:53Z
TSLA,,200.34,,,,10329,2023-05-31T08:00:54Z
TSLA,,200.35,,200.14,100,,
TSLA,200.35,200.38,,200.13,,10538,2023-05-31T08:00:57Z
TSLA,,200.41,,,,10588,
TSLA,,200.36,,,,,
TSLA,,200.37,,200.14,,,
TSLA,200.37,200.47,,200.19,,10740,2023-05-31T08:01:00Z
TSLA,200.4,,,200.23,400,11217,2023-05-31T08:01:01Z
TSLA,,,,,,11305,
TSLA,,200.46,,200.3,100,11412,
TSLA,,,,200.28,,11478,
TSLA,,,200,200.3,,11611,
TSLA,,,300,200.28,,11698,
TSLA,200.27,200.42,100,200.23,300,11922,2023-05-31T08:01:07Z
TSLA,,200.3,200,,,12129,
TSLA,200.23,,,200.11,500,12552,2023-05-31T08:01:09Z
TSLA,,,,,,12557,
TSLA,,,,,400,12560,
TSLA,,200.29,100,,,12575,
TSLA,,,300,,,12595,
TSLA,200.11,200.25,200,,200,12850,2023-05-31T08:01:15Z
TSLA,,,,,,12930,
TSLA,,,,,300,,
TSLA,,200.11,500,200,100,13500,2023-05-31T08:01:20Z
TSLA,,,,,,13513,
TSLA,,,,199.91,,13746,
TSLA,,,,199.94,,,
TSLA,,,,199.95,,13821,
TSLA,,,,199.91,,,
TSLA,,,700,199.98,,13961,
TSLA,,200.1,300,,,13962,
TSLA,,,,,,14231,
TSLA,,,,,,14291,
TSLA,200.01,200,,,,14468,2023-05-31T08:01:36Z
TSLA,199.98,,,199.76,,15002,2023-05-31T08:01:38Z
TSLA,,,,199.77,,,
TSLA,,,,199.75,,,
TSLA,,199.98,200,199.7,500,15004,
TSLA,,,,,,15032,
TSLA,,,,,,15104,
TSLA,,,100,,,15117,
TSLA,,199.94,200,,,,
TSLA,,,,,,15157,
TSLA,,,,199.75,100,15158,
TSLA,,199.93,100,,,15258,
TSLA,199.94,199.99,,199.76,,15822,2023-05-31T08:01:49Z
TSLA,,199.96,,199.72,,16081,
TSLA,,,,199.73,,,
TSLA,,199.95,,199.7,500,16281,
TSLA,,,,,,16381,
TSLA,,,,,,16417,
TSLA,,199.99,,199.75,200,16519,
TSLA,,199.98,,,,16534,
TSLA,,200,200,,,16643,
TSLA,,,,,,16658,
TSLA,,199.98,100,,,,
TSLA,,200,200,,,16767,2023-05-31T08:02:05Z
TSLA,,199.99,100,,,,
TSLA,,,,199.8,,,
TSLA,,,,,,16799,
TSLA,,,,,,16816,
TSLA,,,,,,16817,
TSLA,,,,199.88,100,16832,
TSLA,,,200,199.83,,16837,
TSLA,,199.98,100,,,,
TSLA,,199.97,,,,,
TSLA,,,,,,16884,
TSLA,,,,,,16887,
TSLA,,,,,,16925,
TSLA,,199.96,,199.8,200,16989,
TSLA,199.8,199.83,200,199.75,,17561,2023-05-31T08:02:31Z
TSLA,,,,199.71,400,17846,
TSLA,,,,,,17991,
TSLA,,199.8,300,,,18049,
TSLA,199.71,,,,200,18199,2023-05-31T08:02:38Z
TSLA,,199.79,100,199.7,100,18873,2023-05-31T08:02:39Z
TSLA,,,,,,18923,
TSLA,,199.71,300,,,19183,2023-05-31T08:02:42Z
TSLA,,,,,,19184,
TSLA,,199.79,100,,,19519,2023-05-31T08:02:46Z
TSLA,,199.8,300,,,19598,
TSLA,,,,,,19599,
TSLA,,,,,,19699,
TSLA,,,,,,19719,
TSLA,199.72,199.82,100,,,20178,2023-05-31T08:02:55Z
TSLA,,,,,,20223,
TSLA,,,,,,20226,
TSLA,,,,,,20238,
TSLA,,,,,,20239,
TSLA,,,,,,20259,
TSLA,,,,,,20274,
TSLA,,,,,,20330,
TSLA,,,,,,20335,
